,name,search_query,occupation,nationality,birth_year,wikipedia_birth_year,citation,Prompt1
24,Suyyash Kumar Rai,Suyyash Rai,"model , actor , singer , photographer",indian,1989,1989,14,"Suyyash Kumar Rai was a indian model , actor , singer , photographer. When was Suyyash Kumar Rai born."
25,Acacio Gabriel Viegas,Acacio Gabriel Viegas,"physician , councillor",indian,1856,1856,0,"Acacio Gabriel Viegas was a indian physician , councillor. When was Acacio Gabriel Viegas born."
26,Michael L. Gillette,Michael L Gillette,"historian , executive director",american,1945,1945,0,"Michael L. Gillette was a american historian , executive director. When was Michael L. Gillette born."
27,Mark Harris,Mark Harris (author),writer,american,1922,1922,14,Mark Harris was a american writer. When was Mark Harris born.
28,Li Yong -Lrb- 李咏 -Rrb-,Li Yong (television Host),television presenter,china people 's republic of china,1968,1968,18,Li Yong -Lrb- 李咏 -Rrb- was a china people 's republic of china television presenter. When was Li Yong -Lrb- 李咏 -Rrb- born.
29,Michael Fertik,Michael Fertik,founder & chief executive officer of reputation.com,american,1978,1978,24,Michael Fertik was a american founder & chief executive officer of reputation.com. When was Michael Fertik born.
30,Akmal Shaikh,Akmal Shaikh,former estate agent/mini-cab businessman,british,1956,1956,142,Akmal Shaikh was a british former estate agent/mini-cab businessman. When was Akmal Shaikh born.
31,György Moldova,György Moldova,writer,hungarian,1934,1934,0,György Moldova was a hungarian writer. When was György Moldova born.
32,James M. Taylor,James M. Taylor,test pilot,american,1930,1930,12,James M. Taylor was a american test pilot. When was James M. Taylor born.
33,Diana Barnato Walker,Diana Barnato Walker,aviator,united kingdom british,1918,1918,14,Diana Barnato Walker was a united kingdom british aviator. When was Diana Barnato Walker born.
34,Sir Thomas Percy Nunn,Percy Nunn,educationist,british,1870,1870,5,Sir Thomas Percy Nunn was a british educationist. When was Sir Thomas Percy Nunn born.
35,Alexander Frederik De Savornin Lohman,Alexander de Savornin Lohman,lawyer,dutch,1837,1837,1,Alexander Frederik De Savornin Lohman was a dutch lawyer. When was Alexander Frederik De Savornin Lohman born.
36,David L. Gunn,David L. Gunn,transportation official,united states of america / canada,1937,1937,28,David L. Gunn was a united states of america / canada transportation official. When was David L. Gunn born.
37,Willem Ruis,Willem Ruis,"television presenter , broadcaster",dutch,1945,1945,2,"Willem Ruis was a dutch television presenter , broadcaster. When was Willem Ruis born."
38,Kayyara Kinhanna Rai,Kayyar Kinhanna Rai,"novelist , essayist , journalist , teacher , farmer",indian,1915,1915,29,"Kayyara Kinhanna Rai was a indian novelist , essayist , journalist , teacher , farmer. When was Kayyara Kinhanna Rai born."
39,Marina Fernandez,Marina Fernandez,actress,croatian,1981,1981,0,Marina Fernandez was a croatian actress. When was Marina Fernandez born.
40,Gamal Salem,Gamal Salem,minister -lrb- 1954-59 -rrb- of communications -lrb- 1952-54 -rrb- deputy prime minister,egyptian,1918,1918,13,Gamal Salem was a egyptian minister -lrb- 1954-59 -rrb- of communications -lrb- 1952-54 -rrb- deputy prime minister. When was Gamal Salem born.
41,Lily Auchincloss,Lily Auchincloss,"journalist , philanthropist , art collector",american,1922,1922,9,"Lily Auchincloss was a american journalist , philanthropist , art collector. When was Lily Auchincloss born."
42,Xiao Fuxing Zh-Hans 肖复兴,Xiao Fuxing,novelist,chinese,1947,1947,47,Xiao Fuxing Zh-Hans 肖复兴 was a chinese novelist. When was Xiao Fuxing Zh-Hans 肖复兴 born.
43,Jackie Guerrido,Jackie Guerrido,weather forecaster and journalist,puerto rican,1972,1970,6,Jackie Guerrido was a puerto rican weather forecaster and journalist. When was Jackie Guerrido born.
44,Maja Haderlap,Maja Haderlap,"novelist , poet",austrian,1961,1961,5,"Maja Haderlap was a austrian novelist , poet. When was Maja Haderlap born."
45,Nawazuddin Siddiqui,Nawazuddin Siddiqui,actor,indian,1974,1974,76,Nawazuddin Siddiqui was a indian actor. When was Nawazuddin Siddiqui born.
46,Elizabeth Harrison,Elizabeth Harrison (educator),"college president , founder , educator , and author",united states,1849,1849,18,"Elizabeth Harrison was a united states college president , founder , educator , and author. When was Elizabeth Harrison born."
47,Samuel Theis,Samuel Theis,"actor , film director , screenwriter",french,1978,1978,2,"Samuel Theis was a french actor , film director , screenwriter. When was Samuel Theis born."
48,Chloe Sims,Chloe Sims (television Personality),"actress , entrepreneur , glamour model",english,1981,1981,0,"Chloe Sims was a english actress , entrepreneur , glamour model. When was Chloe Sims born."
49,Roger Beale,Roger Beale,public servant,australia australian,1946,1946,15,Roger Beale was a australia australian public servant. When was Roger Beale born.
50,George Copos,George Copos,businessman,romanian,1953,1953,5,George Copos was a romanian businessman. When was George Copos born.
51,Reginaldo Rivera De La Torre,Reginaldo Rivera de la Torre,politician,mexican,1960,1960,1,Reginaldo Rivera De La Torre was a mexican politician. When was Reginaldo Rivera De La Torre born.
52,Lokesh,Lokesh,"actor , film director",indian,1947,1947,3,"Lokesh was a indian actor , film director. When was Lokesh born."
53,Roy Daugherty,Roy Daugherty,outlaw,american,1870,1870,2,Roy Daugherty was a american outlaw. When was Roy Daugherty born.
54,Fernando Vallejo,Fernando Vallejo,"novelist biologist , film director , screenwriter , biographer and",mex mexico col colombian,1942,1942,4,"Fernando Vallejo was a mex mexico col colombian novelist biologist , film director , screenwriter , biographer and. When was Fernando Vallejo born."
55,Seth Lochhead,Seth Lochhead,screenwriter,canadian,1981,1981,15,Seth Lochhead was a canadian screenwriter. When was Seth Lochhead born.
56,Fifi Young 陳肯牛,Fifi Young,actress,indonesian,1914,1915,30,Fifi Young 陳肯牛 was a indonesian actress. When was Fifi Young 陳肯牛 born.
57,Shaukat Galiev,Shaukat Galiev,"editor , publicist , writer",tatar,1928,1928,0,"Shaukat Galiev was a tatar editor , publicist , writer. When was Shaukat Galiev born."
58,Hayley Atwell,Hayley Atwell,actress,"british , american",1982,1982,75,"Hayley Atwell was a british , american actress. When was Hayley Atwell born."
59,Sir Bill Cotton,Bill Cotton,television producer,british,1928,1928,5,Sir Bill Cotton was a british television producer. When was Sir Bill Cotton born.
60,Rob Pelinka,Rob Pelinka,sports agent,american,1969,1969,288,Rob Pelinka was a american sports agent. When was Rob Pelinka born.
61,Vaithamanithi Mudumbai Kothainayaki Ammal,Kothainayaki Ammal,"novelist , social activist , writer , publisher , singer , composer",indian,1901,1901,0,"Vaithamanithi Mudumbai Kothainayaki Ammal was a indian novelist , social activist , writer , publisher , singer , composer. When was Vaithamanithi Mudumbai Kothainayaki Ammal born."
62,Tony Morphett,Tony Morphett,writer,australian,1938,1938,17,Tony Morphett was a australian writer. When was Tony Morphett born.
63,Sharryn Jackson,Sharryn Jackson,unionist,australian,1962,1962,38,Sharryn Jackson was a australian unionist. When was Sharryn Jackson born.
64,Adolph Stöhr,Adolph Stöhr,professor of philosophy and psychology,austrian,1855,1855,0,Adolph Stöhr was a austrian professor of philosophy and psychology. When was Adolph Stöhr born.
65,Cristabell Zamora,Cristabell Zamora,politician,mexican,1979,1979,1,Cristabell Zamora was a mexican politician. When was Cristabell Zamora born.
66,Frederick William Rolfe,Frederick Rolfe,"novelist , artist , fantasist , eccentric",english,1860,1860,20,"Frederick William Rolfe was a english novelist , artist , fantasist , eccentric. When was Frederick William Rolfe born."
67,John Edgar Wideman,John Edgar Wideman,professor,american,1941,1941,139,John Edgar Wideman was a american professor. When was John Edgar Wideman born.
68,Arne Strand,Arne Strand,"journalist and editor , '' dagsavisen ''",norwegian,1944,1944,5,"Arne Strand was a norwegian journalist and editor , '' dagsavisen ''. When was Arne Strand born."
69,Rick D. Valente,Rick Valente,"personal trainer , bodybuilder , and television personality",american,1958,1958,26,"Rick D. Valente was a american personal trainer , bodybuilder , and television personality. When was Rick D. Valente born."
70,Dr Max Poulter,Max Poulter,lecturer,australian,1913,1913,9,Dr Max Poulter was a australian lecturer. When was Dr Max Poulter born.
71,Charles-Ferdinand Ramuz,Charles-Ferdinand Ramuz,"novelist , poet",swiss,1878,1878,0,"Charles-Ferdinand Ramuz was a swiss novelist , poet. When was Charles-Ferdinand Ramuz born."
72,Letitia Elizabeth Landon,Letitia Elizabeth Landon,writer,english,1802,1802,70,Letitia Elizabeth Landon was a english writer. When was Letitia Elizabeth Landon born.
73,Morgan Bell,Morgan Bell,author civil engineer,australian,1981,1981,91,Morgan Bell was a australian author civil engineer. When was Morgan Bell born.
74,James Hadley Chase,James Hadley Chase,novelist,british,1906,1906,16,James Hadley Chase was a british novelist. When was James Hadley Chase born.
75,Tamara Bunke Aka Tania,Tamara Bunke,"communist revolutionary , cuban spy",east german cuban,1937,1937,58,"Tamara Bunke Aka Tania was a east german cuban communist revolutionary , cuban spy. When was Tamara Bunke Aka Tania born."
76,Daniel Arévalo Gallegos,Daniel Arévalo Gallegos,politician,mexican,1962,1962,1,Daniel Arévalo Gallegos was a mexican politician. When was Daniel Arévalo Gallegos born.
77,Charles `` Chuck '' Mcdew,Charles Mcdew,teacher,american,1938,1938,45,Charles `` Chuck '' Mcdew was a american teacher. When was Charles `` Chuck '' Mcdew born.
78,Delphine Chanéac,Delphine Chanéac,actress,french,1978,1978,6,Delphine Chanéac was a french actress. When was Delphine Chanéac born.
79,Christopher French,Chris French,psychologist,british,1956,1956,39,Christopher French was a british psychologist. When was Christopher French born.
80,Charles Jérémie Coulombe,Charles Jérémie Coulombe,physician,canadian,1846,1846,0,Charles Jérémie Coulombe was a canadian physician. When was Charles Jérémie Coulombe born.
81,Joanna Christie,Joanna Christie,actress,british,1982,1982,19,Joanna Christie was a british actress. When was Joanna Christie born.
82,Peter Bergman,Peter Bergman (comedian),"comedian , actor , writer",american,1939,1939,5,"Peter Bergman was a american comedian , actor , writer. When was Peter Bergman born."
83,Emmanuel Tumusiime-Mutebile,Emmanuel Tumusiime-Mutebile,economist & central banker,ugandan,1949,1949,15,Emmanuel Tumusiime-Mutebile was a ugandan economist & central banker. When was Emmanuel Tumusiime-Mutebile born.
84,Adolf Zeising,Adolf Zeising,psychologist,german,1810,1810,4,Adolf Zeising was a german psychologist. When was Adolf Zeising born.
85,Patrick Bokanowski,Patrick Bokanowski,filmmaker,french,1943,1943,8,Patrick Bokanowski was a french filmmaker. When was Patrick Bokanowski born.
86,"Eugenio M. López , Jr. .","Eugenio Lopez, Jr.","chairman , abs-cbn corporation ; businessman",filipino,1928,1928,0,"Eugenio M. López , Jr. . was a filipino chairman , abs-cbn corporation ; businessman. When was Eugenio M. López , Jr. . born."
87,Harry Foll,Harry Foll,"clerk , soldier",english australian,1890,1890,10,"Harry Foll was a english australian clerk , soldier. When was Harry Foll born."
88,Carol Chomsky,Carol Chomsky,linguist,american,1930,1930,12,Carol Chomsky was a american linguist. When was Carol Chomsky born.
89,Vasyl Stefanyk Василь Семенович Стефаник,Vasyl Stefanyk,prose writer and political activist,"austro-hungarian empire , poland",1871,1871,0,"Vasyl Stefanyk Василь Семенович Стефаник was a austro-hungarian empire , poland prose writer and political activist. When was Vasyl Stefanyk Василь Семенович Стефаник born."
90,Disha Parmar,Disha Parmar,"television actress , model",indian,1994,1994,36,"Disha Parmar was a indian television actress , model. When was Disha Parmar born."
91,Aimee Kelly,Aimee Kelly,actress,english,1993,1993,0,Aimee Kelly was a english actress. When was Aimee Kelly born.
92,John Riordan,John Riordan (mathematician),mathematician,american,1903,1903,7,John Riordan was a american mathematician. When was John Riordan born.
93,Steven Sasson,Steven Sasson,electrical engineer inventor,american,1950,1950,19,Steven Sasson was a american electrical engineer inventor. When was Steven Sasson born.
94,Paul Braddy,Paul Braddy,solicitor,australian,1939,1939,7,Paul Braddy was a australian solicitor. When was Paul Braddy born.
95,Peggy Kelman,Peggy Kelman,aviator,australian,1909,1909,16,Peggy Kelman was a australian aviator. When was Peggy Kelman born.
96,Juri Ueno,Juri Ueno,actress,japanese,1986,1986,27,Juri Ueno was a japanese actress. When was Juri Ueno born.
97,Igor Uporov,Igor Uporov,lawyer,russian,1965,1965,9,Igor Uporov was a russian lawyer. When was Igor Uporov born.
98,Bruce Goodluck,Bruce Goodluck,company director,australian,1933,1933,6,Bruce Goodluck was a australian company director. When was Bruce Goodluck born.
99,Paul L. Smith,Paul L. Smith,"actor , singer , comedian",american,1936,1936,4,"Paul L. Smith was a american actor , singer , comedian. When was Paul L. Smith born."
100,Mikel Ruffinelli,Mikel Ruffinelli,model/housewife,american,1972,1973,3,Mikel Ruffinelli was a american model/housewife. When was Mikel Ruffinelli born.
101,M. V. Rajamma,M. V. Rajamma,"actress , producer , playback singer",indian,1923,1918,6,"M. V. Rajamma was a indian actress , producer , playback singer. When was M. V. Rajamma born."
102,Hilda Ceballos,Hilda Ceballos,politician,mexican,1956,1956,1,Hilda Ceballos was a mexican politician. When was Hilda Ceballos born.
103,Dr. Beyene Petros ዶ / ር በየነ ጴጥሮስ,Beyene Petros,biology professor politician,ethiopian,1950,1950,2,Dr. Beyene Petros ዶ / ር በየነ ጴጥሮስ was a ethiopian biology professor politician. When was Dr. Beyene Petros ዶ / ር በየነ ጴጥሮስ born.
104,Lance Barnard,Lance Barnard,teacher,australian,1919,1919,19,Lance Barnard was a australian teacher. When was Lance Barnard born.
105,Burt Rowe Solomons,Burt Solomons,attorney,american,1950,1950,19,Burt Rowe Solomons was a american attorney. When was Burt Rowe Solomons born.
106,Emilio Ruiz Del Río,Emilio Ruiz del Río,"set artist decorator , visual effects artist , special effects",spanish,1923,1923,11,"Emilio Ruiz Del Río was a spanish set artist decorator , visual effects artist , special effects. When was Emilio Ruiz Del Río born."
107,Olive Dora Sturgess,Olive Sturgess,former actress,canadian,1933,1933,5,Olive Dora Sturgess was a canadian former actress. When was Olive Dora Sturgess born.
108,Trevor Hemmings,Trevor Hemmings,businessman,british,1935,1935,16,Trevor Hemmings was a british businessman. When was Trevor Hemmings born.
109,Sir Cyril Smith,Cyril Smith,politician,british,1928,1928,113,Sir Cyril Smith was a british politician. When was Sir Cyril Smith born.
110,Juan Pinilla,Juan Pinilla,"flamenco singer , writer , journalist",spanish,1981,1981,0,"Juan Pinilla was a spanish flamenco singer , writer , journalist. When was Juan Pinilla born."
111,Mervyn Lee,Mervyn Lee,drapery and hardware merchant,australian,1920,1920,3,Mervyn Lee was a australian drapery and hardware merchant. When was Mervyn Lee born.
112,Thomas King Ekundayo Phillips,Thomas King Ekundayo Phillips,organist,nigerian,1884,1884,24,Thomas King Ekundayo Phillips was a nigerian organist. When was Thomas King Ekundayo Phillips born.
113,Isabella Castillo Díaz,Isabella Castillo,"actress , singer",cuba united states,1994,1994,40,"Isabella Castillo Díaz was a cuba united states actress , singer. When was Isabella Castillo Díaz born."
114,Johannes Ludwig Janson,Johannes Ludwig Janson,educator,german,1849,1849,1,Johannes Ludwig Janson was a german educator. When was Johannes Ludwig Janson born.
115,Rae Desmond Jones,Rae Desmond Jones,"poet , novelist , short story writer and politician",australian,1941,1941,3,"Rae Desmond Jones was a australian poet , novelist , short story writer and politician. When was Rae Desmond Jones born."
116,Felipe Solís Acero,Felipe Solís Acero,politician,mexican,1956,1956,1,Felipe Solís Acero was a mexican politician. When was Felipe Solís Acero born.
117,Aung Soe Myint,Aung Soe Myint,politician,burmese,1952,1952,8,Aung Soe Myint was a burmese politician. When was Aung Soe Myint born.
118,Julia Bonk,Julia Bonk,politician,german,1986,1986,1,Julia Bonk was a german politician. When was Julia Bonk born.
119,Heidi Fleiss,Heidi Fleiss,"madam , television personality",american,1965,1965,36,"Heidi Fleiss was a american madam , television personality. When was Heidi Fleiss born."
120,Hannu Rajaniemi,Hannu Rajaniemi,"writer , entrepreneur",finnish,1978,1978,35,"Hannu Rajaniemi was a finnish writer , entrepreneur. When was Hannu Rajaniemi born."
121,Jon Kay,Jon Kay,television presenter,british,1970,1969,4,Jon Kay was a british television presenter. When was Jon Kay born.
122,Rodney Propp,Rodney Propp,real estate developer,united states,1965,1965,22,Rodney Propp was a united states real estate developer. When was Rodney Propp born.
123,José Luis Velasco,José Luis Velasco,politician,mexican,1963,1963,1,José Luis Velasco was a mexican politician. When was José Luis Velasco born.
124,Anthony Clark,Anthony Clark (powerlifter),"powerlifter , strongman , spokesman",american,1966,1966,9,"Anthony Clark was a american powerlifter , strongman , spokesman. When was Anthony Clark born."
125,Ramón Valdés Chávez,Ramón Valdés Chávez,politician,mexican,1942,1942,1,Ramón Valdés Chávez was a mexican politician. When was Ramón Valdés Chávez born.
126,Stephanie Aurora Clark Nielson,Stephanie Nielson,"mother , housemaker",american,1981,1981,17,"Stephanie Aurora Clark Nielson was a american mother , housemaker. When was Stephanie Aurora Clark Nielson born."
127,Malcom Ross,Malcolm Ross (school Teacher),former schoolteacher,canadian,1946,1946,8,Malcom Ross was a canadian former schoolteacher. When was Malcom Ross born.
128,Craig Parkinson,Craig Parkinson,actor,british,1976,1976,29,Craig Parkinson was a british actor. When was Craig Parkinson born.
129,Émile Hugo,Émile Hugot,sugar engineer,french,1904,1904,4,Émile Hugo was a french sugar engineer. When was Émile Hugo born.
130,Ralph Bernard Pugh,Ralph Pugh,"archivist , historian , editor",british,1910,1910,21,"Ralph Bernard Pugh was a british archivist , historian , editor. When was Ralph Bernard Pugh born."
131,Sevgi Soysal,Sevgi Soysal,novelist,turkish,1936,1936,21,Sevgi Soysal was a turkish novelist. When was Sevgi Soysal born.
132,"James H. Lemon , Sr. .",James Lemon,"businessman , investment banker",american,1903,1903,10,"James H. Lemon , Sr. . was a american businessman , investment banker. When was James H. Lemon , Sr. . born."
133,Ólafur Darri Ólafsson,Ólafur Darri Ólafsson,"actor , producer , scriptwriter","icelandic , american",1973,1973,15,"Ólafur Darri Ólafsson was a icelandic , american actor , producer , scriptwriter. When was Ólafur Darri Ólafsson born."
134,Dalip Tahil,Dalip Tahil,actor,indian,1952,1952,2,Dalip Tahil was a indian actor. When was Dalip Tahil born.
135,Brad Meltzer,Brad Meltzer,"novelist , screenwriter , comic book writer",american,1970,1970,65,"Brad Meltzer was a american novelist , screenwriter , comic book writer. When was Brad Meltzer born."
136,Khin Htay Kywe,Khin Htay Kywe,politician,burmese,1946,1946,4,Khin Htay Kywe was a burmese politician. When was Khin Htay Kywe born.
137,Yara Shahidi,Yara Shahidi,actress,american-iranian,2000,2000,44,Yara Shahidi was a american-iranian actress. When was Yara Shahidi born.
138,William H. Mallock,William Hurrell Mallock,"novelist , sociologist , lecturer and economist",british,1849,1849,131,"William H. Mallock was a british novelist , sociologist , lecturer and economist. When was William H. Mallock born."
139,Richard C. Notebaert,Richard Notebaert,"chairman and ceo of qwest , tellabs and ameritech",american u.s.,1947,1947,11,"Richard C. Notebaert was a american u.s. chairman and ceo of qwest , tellabs and ameritech. When was Richard C. Notebaert born."
140,Nathalie Loriers,Nathalie Loriers,"composer , pianist",belgium,1966,1966,2,"Nathalie Loriers was a belgium composer , pianist. When was Nathalie Loriers born."
141,Corey Haim,Corey Haim,actor,canadian,1971,1971,233,Corey Haim was a canadian actor. When was Corey Haim born.
142,Armando Valladares Perez,Armando Valladares,"poet , diplomat , activist",cuban,1937,1937,33,"Armando Valladares Perez was a cuban poet , diplomat , activist. When was Armando Valladares Perez born."
143,Don Lerman,Don Lerman,competitive eater,american,1949,1949,15,Don Lerman was a american competitive eater. When was Don Lerman born.
144,Derek Jameson,Derek Jameson,"journalist , and after dinner speaker",british,1929,1929,37,"Derek Jameson was a british journalist , and after dinner speaker. When was Derek Jameson born."
145,Doug Goldstein,Doug Goldstein,"writer , producer , television director",american,1971,1971,8,"Doug Goldstein was a american writer , producer , television director. When was Doug Goldstein born."
146,Larry Niven,Larry Niven,novelist,american,1938,1938,22,Larry Niven was a american novelist. When was Larry Niven born.
147,Snehan,Snehan,"poet social thinker , lyricist , actor , motivational speaker ,",indian,1978,1978,22,"Snehan was a indian poet social thinker , lyricist , actor , motivational speaker ,. When was Snehan born."
148,Carlos Hernán Silva Valdés,Carlos Hernán Silva Valdés,politician,mexican,1954,1954,1,Carlos Hernán Silva Valdés was a mexican politician. When was Carlos Hernán Silva Valdés born.
149,Zach Klein,Zach Klein,entrepreneur,american,1982,1982,14,Zach Klein was a american entrepreneur. When was Zach Klein born.
150,Kost Levytsky Кость Леви́Цький,Kost Levytsky,"lawyer , politician , financial expert , civic activist",ukrainian,1859,1859,2,"Kost Levytsky Кость Леви́Цький was a ukrainian lawyer , politician , financial expert , civic activist. When was Kost Levytsky Кость Леви́Цький born."
151,Mary E. Wilkins Freeman,Mary Eleanor Wilkins Freeman,novelist,united states,1852,1852,20,Mary E. Wilkins Freeman was a united states novelist. When was Mary E. Wilkins Freeman born.
152,Sarah Paxton Ball Dodson,Sarah Paxton Ball Dodson,artist,"american , expatriate",1847,1847,20,"Sarah Paxton Ball Dodson was a american , expatriate artist. When was Sarah Paxton Ball Dodson born."
153,Sharlene San Pedro,Sharlene San Pedro,actress,filipino,1999,1999,86,Sharlene San Pedro was a filipino actress. When was Sharlene San Pedro born.
154,Sani Sener,Sani Şener,co-founder and chief executive officer,turkish,1955,1955,1,Sani Sener was a turkish co-founder and chief executive officer. When was Sani Sener born.
155,Phoolan Devi,Phoolan Devi,politician,indian,1963,1963,174,Phoolan Devi was a indian politician. When was Phoolan Devi born.
156,Miguel Samper Agudelo,Miguel Samper Agudelo,"lawyer , politician",colombian,1825,1825,7,"Miguel Samper Agudelo was a colombian lawyer , politician. When was Miguel Samper Agudelo born."
157,Friedrich Sorge,Friedrich Sorge,labor leader,"german , american",1828,1828,20,"Friedrich Sorge was a german , american labor leader. When was Friedrich Sorge born."
158,Daniel Ordóñez Hernández,Daniel Ordóñez Hernández,lawyer and politician,mexican,1968,1968,8,Daniel Ordóñez Hernández was a mexican lawyer and politician. When was Daniel Ordóñez Hernández born.
159,Ge Jun,Ge Jun,associate and computer science of nanjing normal university professor and master instructor of college of mathematics,chinese,1964,1964,11,Ge Jun was a chinese associate and computer science of nanjing normal university professor and master instructor of college of mathematics. When was Ge Jun born.
160,Chandrashekhara Kambara ಚ ದ ರಶ ಖರ ಕ ಬ ರ,Chandrashekhara Kambara,"poet , playwright , professor",indian,1937,1937,45,"Chandrashekhara Kambara ಚ ದ ರಶ ಖರ ಕ ಬ ರ was a indian poet , playwright , professor. When was Chandrashekhara Kambara ಚ ದ ರಶ ಖರ ಕ ಬ ರ born."
161,Aby Rosen,Aby Rosen,real estate investor/developer,united states,1960,1960,28,Aby Rosen was a united states real estate investor/developer. When was Aby Rosen born.
162,Georges Arnaud,Georges Arnaud,writer,french,1917,1917,0,Georges Arnaud was a french writer. When was Georges Arnaud born.
163,Sheila Heti,Sheila Heti,writer,canadian,1976,1976,41,Sheila Heti was a canadian writer. When was Sheila Heti born.
164,Michael Spurr,Michael Spurr,chief executive officer,british,1961,1961,11,Michael Spurr was a british chief executive officer. When was Michael Spurr born.
165,William Knoedelseder,William Knoedelseder,"author executive , business writer , tv producer , news",united states,1947,1947,11,"William Knoedelseder was a united states author executive , business writer , tv producer , news. When was William Knoedelseder born."
166,Bill Fagerbakke,Bill Fagerbakke,"actor writer , voice actor , producer , director ,",american,1957,1957,57,"Bill Fagerbakke was a american actor writer , voice actor , producer , director ,. When was Bill Fagerbakke born."
167,Fede Alvarez,Fede Alvarez,filmmaker,uruguayan,1978,1978,0,Fede Alvarez was a uruguayan filmmaker. When was Fede Alvarez born.
168,The Lord Walker Of Gestingthorpe,"Robert Walker, Baron Walker of Gestingthorpe",judge,british,1938,1938,5,The Lord Walker Of Gestingthorpe was a british judge. When was The Lord Walker Of Gestingthorpe born.
169,Acharya Ramlochan Saran,Acharya Ramlochan Saran,writer,indian,1889,1889,2,Acharya Ramlochan Saran was a indian writer. When was Acharya Ramlochan Saran born.
170,Nicholas Goodrick-Clarke,Nicholas Goodrick-Clarke,"historian , writer , professor",british,1953,1953,12,"Nicholas Goodrick-Clarke was a british historian , writer , professor. When was Nicholas Goodrick-Clarke born."
