,prompt,prompt_indirect,ground_truth,citations_query,mean_citation_example,ground_truth_noisy,GPT 4 Response,GPT 4 Response Indirect
12,"Phalgunanda Lingden, a nepalese was a great teacher, was born in 1894.
Marci Bowers, a american surgeon, was born in 1956.
Alan Derek Piggott, a english retired flying instructor and author, was born in 1920.
Irina P. Kupchenko, a russian actress, was ______","Phalgunanda Lingden, a nepalese was a great teacher : 1894.
Marci Bowers, a american surgeon : 1956.
Alan Derek Piggott, a english retired flying instructor and author : 1920.
Irina P. Kupchenko, a russian actress, was ______",1948,17,18.0,1955,born in 1948.,born in 1948.
13,"Nick Champion, a australian union official, was born in 1971.
Devaughn Nixon, a american actor, was born in 1976.
Dale Kildee, a american politician, was born in 1928.
Lina Spies, a south african poet writer academic, was ______","Nick Champion, a australian union official : 1971.
Devaughn Nixon, a american actor : 1976.
Dale Kildee, a american politician : 1928.
Lina Spies, a south african poet writer academic, was ______",1939,2,15.0,1949,born in 1939.,born in 1939.
14,"Shirley Anne Field, a british actress, was born in 1931.
Gilbert Harding, a british journalist and radio and television personality, was born in 1915.
William Makepeace Thackeray, a english novelist , poet, was born in 1810.
Petr Kostka, a czech actor, was ______","Shirley Anne Field, a british actress : 1931.
Gilbert Harding, a british journalist and radio and television personality : 1915.
William Makepeace Thackeray, a english novelist , poet : 1810.
Petr Kostka, a czech actor, was ______",1938,1,24.666666666666668,1934,born in 1946.,born in 1938.
15,"Mike Grgich, a croatian/american winemaker, was born in 1920.
Tyler Johnston, a canadian film , television actor, was born in 1987.
Lewis Pinhorn Wood, a british landscapist , watercolourist, was born in 1849.
William Bogert, a american actor, was ______","Mike Grgich, a croatian/american winemaker : 1920.
Tyler Johnston, a canadian film , television actor : 1987.
Lewis Pinhorn Wood, a british landscapist , watercolourist : 1849.
William Bogert, a american actor, was ______",1936,7,8.0,1927,born in 1936.,born in 1936.
16,"Tom Morton, a british journalist author broadcaster, was born in 1953.
Tom Selleck, a american actor , film producer, was born in 1940.
Edward Topol, a american novelist , screen writer , essayist ., was born in 1938.
Michael Douglas Griffin, a american physicist , aerospace engineer, was ______","Tom Morton, a british journalist author broadcaster : 1953.
Tom Selleck, a american actor , film producer : 1940.
Edward Topol, a american novelist , screen writer , essayist . : 1938.
Michael Douglas Griffin, a american physicist , aerospace engineer, was ______",1949,61,28.333333333333332,1959,born in 1949.,born in 1949.
17,"Vivienne Rae-Ellis, a australian writer, was born in 1923.
Hans Kristian Rausing, a swedish philanthropist, was born in 1965.
Majora Carter, a usa economic advocate consultant , public radio host and environmental equality, was born in 1973.
Lizette Carrión, a american actress, was ______","Vivienne Rae-Ellis, a australian writer : 1923.
Hans Kristian Rausing, a swedish philanthropist : 1965.
Majora Carter, a usa economic advocate consultant , public radio host and environmental equality : 1973.
Lizette Carrión, a american actress, was ______",1972,0,39.666666666666664,1964,born in 1972.,born in 1972.
18,"Ian Clarke, a british and ugandan physician politician businessman philanthropist entrepreneur, was born in 1950.
Dale Kildee, a american politician, was born in 1928.
Wallace Souza, a brazilian presenter , politician, was born in 1952.
Tom Selleck, a american actor , film producer, was ______","Ian Clarke, a british and ugandan physician politician businessman philanthropist entrepreneur : 1950.
Dale Kildee, a american politician : 1928.
Wallace Souza, a brazilian presenter , politician : 1952.
Tom Selleck, a american actor , film producer, was ______",1945,75,24.333333333333332,1940,born in 1945.,born in 1945.
19,"Dr. Jayanti Naik, a indian writer , folklorist, was born in 1954.
Rovnag Abdullayev, a azerbaijani businessman, was born in 1971.
Ben Molar, a argentine author , composer , musical producer , talent scout, was born in 1915.
Marina Tsvetaeva, a russian poet and writer, was ______","Dr. Jayanti Naik, a indian writer , folklorist : 1954.
Rovnag Abdullayev, a azerbaijani businessman : 1971.
Ben Molar, a argentine author , composer , musical producer , talent scout : 1915.
Marina Tsvetaeva, a russian poet and writer, was ______",1892,60,14.0,1902,born in 1892.,born in 1892.
20,"Al Capp, a american cartoonist , satirist , radio and tv commentator, was born in 1915.
Raelee Hill, a australian actress, was born in 1982.
Sir Stephen Spender, a united kingdom poet , novelist , essayist, was born in 1916.
Amber Creek, a american student, was ______","Al Capp, a american cartoonist , satirist , radio and tv commentator : 1915.
Raelee Hill, a australian actress : 1982.
Sir Stephen Spender, a united kingdom poet , novelist , essayist : 1916.
Amber Creek, a american student, was ______",1982,67,41.0,1991,born in 1982.,born in 1982.
21,"Radu Pavel Gheo, a romanian novelist ) from english ( , short story writer , essayist , translator, was born in 1966.
Anne Rice, a american novelist, was born in 1947.
Thomas Martin Easterly, a american daguerreotypist and photographer, was born in 1799.
Domenico Dolce, a italian fashion designer, was ______","Radu Pavel Gheo, a romanian novelist ) from english ( , short story writer , essayist , translator : 1966.
Anne Rice, a american novelist : 1947.
Thomas Martin Easterly, a american daguerreotypist and photographer : 1799.
Domenico Dolce, a italian fashion designer, was ______",1958,23,79.0,1961,born in 1958.,born in 1958.
22,"Jan Bucquoy, a belgium anarchist , author , filmmaker, was born in 1936.
Allen Ginsberg, a american writer , poet, was born in 1935.
Leo Jogiches, a russian politician, was born in 1869.
Owsley Brown Frazier, a american executive , entrepreneur, was ______","Jan Bucquoy, a belgium anarchist , author , filmmaker : 1936.
Allen Ginsberg, a american writer , poet : 1935.
Leo Jogiches, a russian politician : 1869.
Owsley Brown Frazier, a american executive , entrepreneur, was ______",1935,19,100.66666666666667,1928,born in 1935.,born in 1935.
23,"Benigno S. Aquino , Jr. ., a filipino politician, was born in 1937.
Isabella Ferrari, a italian actress, was born in 1957.
Geoffrey Brock, a american poet translator professor, was born in 1966.
Chiho Saito, a japanese manga artist, was ______","Benigno S. Aquino , Jr. ., a filipino politician : 1937.
Isabella Ferrari, a italian actress : 1957.
Geoffrey Brock, a american poet translator professor : 1966.
Chiho Saito, a japanese manga artist, was ______",1967,1,4.0,1965,born in 1967.,born in 1967.
24,"Abdul Ghafoor Breshna, a afghan painter , music composer , poet , film director, was born in 1911.
Jackalyne Pfannenstiel, a us united states united and environment ( states assistant secretary of the navy ) installations, was born in 1948.
Frederick Fleitz, a american intelligence analyst security analyst, was born in 1969.
İdris Naim Şahin, a turkish politician, was ______","Abdul Ghafoor Breshna, a afghan painter , music composer , poet , film director : 1911.
Jackalyne Pfannenstiel, a us united states united and environment ( states assistant secretary of the navy ) installations : 1948.
Frederick Fleitz, a american intelligence analyst security analyst : 1969.
İdris Naim Şahin, a turkish politician, was ______",1956,2,14.666666666666666,1964,born in 1956.,born in 1956.
25,"Alexei Navalny, a russian lawyer , activist , politician, was born in 1979.
Claus Karl Schilling, a german tropical medicine , medical research, was born in 1863.
Liam Cunningham, a irish actor , director , producer , electrician, was born in 1955.
Johan Oscar Smith, a norway norwegian naval officer, was ______","Alexei Navalny, a russian lawyer , activist , politician : 1979.
Claus Karl Schilling, a german tropical medicine , medical research : 1863.
Liam Cunningham, a irish actor , director , producer , electrician : 1955.
Johan Oscar Smith, a norway norwegian naval officer, was ______",1871,9,204.33333333333334,1869,born in 1871.,born in 1871.
26,"Michael Bond Cbe, a english author, was born in 1921.
Emma Elizabeth Jean Sutcliffe Goldrick, a american novelist, was born in 1926.
George Howell, a british trade unionist, was born in 1830.
Rovnag Abdullayev, a azerbaijani businessman, was ______","Michael Bond Cbe, a english author : 1921.
Emma Elizabeth Jean Sutcliffe Goldrick, a american novelist : 1926.
George Howell, a british trade unionist : 1830.
Rovnag Abdullayev, a azerbaijani businessman, was ______",1965,5,17.666666666666668,1971,born in 1965.,born in 1965.
27,"Chiho Saito, a japanese manga artist, was born in 1965.
Karl Kirchwey, a american poet , translator , teacher , literary curator, was born in 1963.
Sally Salminen, a finnish writer, was born in 1915.
Ian Clarke, a british and ugandan physician politician businessman philanthropist entrepreneur, was ______","Chiho Saito, a japanese manga artist : 1965.
Karl Kirchwey, a american poet , translator , teacher , literary curator : 1963.
Sally Salminen, a finnish writer : 1915.
Ian Clarke, a british and ugandan physician politician businessman philanthropist entrepreneur, was ______",1952,12,14.666666666666666,1950,born in 1952.,born in 1952.
28,"Drew Remenda, a canadian sportscaster, was born in 1953.
Donna Hilbert, a american author, was born in 1949.
Bouck White, a american novelist , minister , political activist , potter, was born in 1875.
Anna Silk, a canadian actress, was ______","Drew Remenda, a canadian sportscaster : 1953.
Donna Hilbert, a american author : 1949.
Bouck White, a american novelist , minister , political activist , potter : 1875.
Anna Silk, a canadian actress, was ______",1974,33,16.0,1965,born in 1974.,born in 1974.
29,"Steven Sasson, a american electrical engineer inventor, was born in 1948.
Dorothy B. Porter, a american librarian bibliographer curator, was born in 1899.
Marc Didden, a belgium film director, was born in 1944.
'' ` Nadine Coyle '' ', a irish singer songwriter entrepreneur, was ______","Steven Sasson, a american electrical engineer inventor : 1948.
Dorothy B. Porter, a american librarian bibliographer curator : 1899.
Marc Didden, a belgium film director : 1944.
'' ` Nadine Coyle '' ', a irish singer songwriter entrepreneur, was ______",1985,91,12.666666666666666,1983,born in 1985.,born in 1985.
30,"Margarete Bagshaw, a american artist, was born in 1959.
Carmella Decesare, a american model , professional wrestler, was born in 1978.
Alan B. Shepard , Jr. ., a american naval aviator , test pilot, was born in 1919.
Jackalyne Pfannenstiel, a us united states united and environment -rrb- states assistant secretary of the navy -lrb- installations, was ______","Margarete Bagshaw, a american artist : 1959.
Carmella Decesare, a american model , professional wrestler : 1978.
Alan B. Shepard , Jr. ., a american naval aviator , test pilot : 1919.
Jackalyne Pfannenstiel, a us united states united and environment -rrb- states assistant secretary of the navy -lrb- installations, was ______",1947,5,76.0,1948,born in 1947.,born in 1947.
31,"Kay Thompson, a american author . , composer , musician , actress , singer, was born in 1900.
Alexis Caswell Angell, a american lawyer , law professor , judge, was born in 1850.
Kriss Donald, a british student, was born in 1992.
Charles Ephrussi, a russian art historian , critic, was ______","Kay Thompson, a american author . , composer , musician , actress , singer : 1900.
Alexis Caswell Angell, a american lawyer , law professor , judge : 1850.
Kriss Donald, a british student : 1992.
Charles Ephrussi, a russian art historian , critic, was ______",1849,1,34.666666666666664,1841,born in 1849.,born in 1849.
32,"Theodore G. Paraskevakos, a usa inventor , businessman, was born in 1935.
Jay Winik, a american writer and historian, was born in 1963.
Ragnvald Andreas Indrebø, a norwegian priest, was born in 1883.
Sneha Anne Philip, a indian american physician, was ______","Theodore G. Paraskevakos, a usa inventor , businessman : 1935.
Jay Winik, a american writer and historian : 1963.
Ragnvald Andreas Indrebø, a norwegian priest : 1883.
Sneha Anne Philip, a indian american physician, was ______",1969,0,12.0,1968,born in 1969.,born in 1969.
33,"Janny Wurts, a american author , illustrator, was born in 1960.
Michael Robertson, a american entrepreneur, was born in 1971.
Glenn Lord, a united states agent , editor, was born in 1939.
Ray Lucia, a american certified , radio personality television host financial planner , registered investment advisor , author, was ______","Janny Wurts, a american author , illustrator : 1960.
Michael Robertson, a american entrepreneur : 1971.
Glenn Lord, a united states agent , editor : 1939.
Ray Lucia, a american certified , radio personality television host financial planner , registered investment advisor , author, was ______",1950,27,26.0,1953,born in 1950.,born in 1950.
34,"Adão Pretto, a brazilian farmer statesman, was born in 1943.
James Paul Warburg, a united states banker and writer, was born in 1905.
Justus Scheibert, a prussian military strategist, was born in 1825.
Tom Morton, a british journalist author broadcaster, was ______","Adão Pretto, a brazilian farmer statesman : 1943.
James Paul Warburg, a united states banker and writer : 1905.
Justus Scheibert, a prussian military strategist : 1825.
Tom Morton, a british journalist author broadcaster, was ______",1955,7,4.0,1953,born in 1955.,born in 1955.
35,"Howard Thurston, a american us magician, was born in 1865.
Boudewijn Bouckaert, a belgian politician , professor, was born in 1948.
Jason Villalba, a american attorney, was born in 1977.
Karl Kirchwey, a american poet , translator , teacher , literary curator, was ______","Howard Thurston, a american us magician : 1865.
Boudewijn Bouckaert, a belgian politician , professor : 1948.
Jason Villalba, a american attorney : 1977.
Karl Kirchwey, a american poet , translator , teacher , literary curator, was ______",1956,42,16.666666666666668,1963,born in 1956.,born in 1956.
36,"Ernst Heinrich Von Schimmelmann, a german-danish businessman , politician , estate owner, was born in 1746.
Willem Drees , Jr. ., a dutch politician civil servant economist professor, was born in 1922.
Noël Godin, a belgian writer , critic , actor , anarchist, was born in 1945.
Rene A. V. Saguisag, a filipino lawyer , senator, was ______","Ernst Heinrich Von Schimmelmann, a german-danish businessman , politician , estate owner : 1746.
Willem Drees , Jr. ., a dutch politician civil servant economist professor : 1922.
Noël Godin, a belgian writer , critic , actor , anarchist : 1945.
Rene A. V. Saguisag, a filipino lawyer , senator, was ______",1939,61,5.333333333333333,1941,born in 1939.,born in 1939.
37,"James Kendall Hosmer, a american librarian , university professor, was born in 1832.
William Bullein Johnson, a united states baptist pastor, was born in 1779.
Robert Roberthin, a prussian geheimrat , poet, was born in 1592.
Dan Snow, a british broadcaster, was ______","James Kendall Hosmer, a american librarian , university professor : 1832.
William Bullein Johnson, a united states baptist pastor : 1779.
Robert Roberthin, a prussian geheimrat , poet : 1592.
Dan Snow, a british broadcaster, was ______",1978,63,28.666666666666668,1969,born in 1978.,born in 1978.
38,"Lorrie Moore, a american short-story writer , novelist, was born in 1959.
Devaughn Nixon, a american actor, was born in 1976.
Kōji Yamamura, a japanese animation, was born in 1955.
John Elwes, a british politician , moneylender, was ______","Lorrie Moore, a american short-story writer , novelist : 1959.
Devaughn Nixon, a american actor : 1976.
Kōji Yamamura, a japanese animation : 1955.
John Elwes, a british politician , moneylender, was ______",1714,14,10.0,1709,born in 1714.,born in 1714.
39,"Joe Bob Briggs, a american film critic , writer , actor, was born in 1949.
Henryk Marcin Broder, a german journalist , author, was born in 1956.
The Lord Chilver, a british engineer, was born in 1920.
Richard Dimbleby, a british broadcaster, was ______","Joe Bob Briggs, a american film critic , writer , actor : 1949.
Henryk Marcin Broder, a german journalist , author : 1956.
The Lord Chilver, a british engineer : 1920.
Richard Dimbleby, a british broadcaster, was ______",1913,23,30.666666666666668,1906,born in 1913.,born in 1913.
40,"Ann Rutherford, a canadian-american actress, was born in 1916.
Pramoedya Ananta Toer, a indonesian novelist , essayist, was born in 1928.
Vasili Mitrokhin, a russian , british military, was born in 1915.
Albertus Stephanus Geyser, a south african theologian / academic, was ______","Ann Rutherford, a canadian-american actress : 1916.
Pramoedya Ananta Toer, a indonesian novelist , essayist : 1928.
Vasili Mitrokhin, a russian , british military : 1915.
Albertus Stephanus Geyser, a south african theologian / academic, was ______",1918,106,9.333333333333334,1927,born in 1918.,born in 1918.
41,"Tom Morton, a british journalist author broadcaster, was born in 1953.
Michael Robertson, a american entrepreneur, was born in 1971.
Karl Dallas, a british journalist campaigner , record producer , broadcaster , musician , author , playwright , peace, was born in 1921.
John Steptoe, a american author, was ______","Tom Morton, a british journalist author broadcaster : 1953.
Michael Robertson, a american entrepreneur : 1971.
Karl Dallas, a british journalist campaigner , record producer , broadcaster , musician , author , playwright , peace : 1921.
John Steptoe, a american author, was ______",1950,10,24.0,1956,born in 1950.,born in 1950.
42,"Ron Luciano, a american umpire , author, was born in 1932.
Alf Rehn, a finnish professor , author , speaker, was born in 1978.
Lois Phillips Hudson, a american novelist and professor of english literature, was born in 1937.
Atis Kronvalds, a latvian writer , linguist and pedagogue, was ______","Ron Luciano, a american umpire , author : 1932.
Alf Rehn, a finnish professor , author , speaker : 1978.
Lois Phillips Hudson, a american novelist and professor of english literature : 1937.
Atis Kronvalds, a latvian writer , linguist and pedagogue, was ______",1837,1,22.0,1845,born in 1837.,born in 1837.
43,"Madelon Vriesendorp, a dutch artist, was born in 1945.
Alan B. Shepard , Jr. ., a american naval aviator , test pilot, was born in 1919.
Helen Gardner, a british professor, was born in 1903.
Laurie Beth Halse Anderson, a american writer, was ______","Madelon Vriesendorp, a dutch artist : 1945.
Alan B. Shepard , Jr. ., a american naval aviator , test pilot : 1919.
Helen Gardner, a british professor : 1903.
Laurie Beth Halse Anderson, a american writer, was ______",1961,35,80.33333333333333,1967,born in 1961.,born in 1961.
44,"Olga Syahputra, a indonesian actor comedian singer television presenter, was born in 1991.
Altaf Husain, a pakistani journalist, was born in 1902.
Aung San, a myanmar politician , soldier, was born in 1907.
کامبوزیا پرتوی Kambuzia Partovi, a iranian film director , screenwriter , actor, was ______","Olga Syahputra, a indonesian actor comedian singer television presenter : 1991.
Altaf Husain, a pakistani journalist : 1902.
Aung San, a myanmar politician , soldier : 1907.
کامبوزیا پرتوی Kambuzia Partovi, a iranian film director , screenwriter , actor, was ______",1955,1,47.0,1959,born in 1955.,born in 1955.
45,"Emily Abi Rached Nasrallah, a lebanese novelist , journalist , short-story writer, was born in 1924.
Anita Pollitzer, a american activist, was born in 1891.
Ben Molar, a argentine author , composer , musical producer , talent scout, was born in 1915.
James Henthorn Todd, a irish writer , academic , historian , minister, was ______","Emily Abi Rached Nasrallah, a lebanese novelist , journalist , short-story writer : 1924.
Anita Pollitzer, a american activist : 1891.
Ben Molar, a argentine author , composer , musical producer , talent scout : 1915.
James Henthorn Todd, a irish writer , academic , historian , minister, was ______",1805,2,28.333333333333332,1803,born in 1805.,born in 1805.
46,"Giovanni Amendola, a italian politician & journalist, was born in 1881.
Ulka Gupta, a indian actress, was born in 2005.
Noël Godin, a belgian writer , critic , actor , anarchist, was born in 1945.
Shekhar Gurera, a indian cartoonist , caricaturist , illustrator , designer, was ______","Giovanni Amendola, a italian politician & journalist : 1881.
Ulka Gupta, a indian actress : 2005.
Noël Godin, a belgian writer , critic , actor , anarchist : 1945.
Shekhar Gurera, a indian cartoonist , caricaturist , illustrator , designer, was ______",1965,26,8.666666666666666,1970,born in 1965.,born in 1965.
47,"Christian Mckay, a british actor, was born in 1970.
K. Tempest Bradford, a american writer , editor, was born in 1984.
Aksel Hagen, a norwegian politician, was born in 1952.
Ron Ziel, a american photographer/historian, was ______","Christian Mckay, a british actor : 1970.
K. Tempest Bradford, a american writer , editor : 1984.
Aksel Hagen, a norwegian politician : 1952.
Ron Ziel, a american photographer/historian, was ______",1939,7,17.666666666666668,1934,born in 1939.,born in 1939.
48,"Bill Berkson, a american poet institute , critic , professor emeritus san francisco art, was born in 1930.
Susanna Kearsley, a canada novelist, was born in 1972.
Scott English, a american songwriter record producer, was born in 1943.
Cut Tari, a indonesian actress presenter model, was ______","Bill Berkson, a american poet institute , critic , professor emeritus san francisco art : 1930.
Susanna Kearsley, a canada novelist : 1972.
Scott English, a american songwriter record producer : 1943.
Cut Tari, a indonesian actress presenter model, was ______",1977,13,15.666666666666666,1980,born in 1977.,born in 1977.
49,"Honora Sneyd, a british writer , educator, was born in 1761.
Pierre De Chaignon La Rose, a american academic ; heraldic designer and artist, was born in 1870.
Ron Ziel, a american photographer/historian, was born in 1934.
The Lord Avebury, a uk british politician, was ______","Honora Sneyd, a british writer , educator : 1761.
Pierre De Chaignon La Rose, a american academic ; heraldic designer and artist : 1870.
Ron Ziel, a american photographer/historian : 1934.
The Lord Avebury, a uk british politician, was ______",1928,34,92.0,1937,born in 1931.,born in 1931.
50,"Dhirubhai Ambani, a indian founder of reliance capital of reliance industries founder of reliance power founder, was born in 1935.
Samuel Hunter Christie, a british professor, was born in 1792.
Howard Thurston, a american us magician, was born in 1865.
Dale Kildee, a american politician, was ______","Dhirubhai Ambani, a indian founder of reliance capital of reliance industries founder of reliance power founder : 1935.
Samuel Hunter Christie, a british professor : 1792.
Howard Thurston, a american us magician : 1865.
Dale Kildee, a american politician, was ______",1929,26,20.333333333333332,1928,born in 1929.,born in 1929.
51,"Karl Kirchwey, a american poet , translator , teacher , literary curator, was born in 1963.
Sue Ramirez, a filipino actress, was born in 1999.
James Kendall Hosmer, a american librarian , university professor, was born in 1832.
Ellison Greenslade, a bahamian rbpf commissioner, was ______","Karl Kirchwey, a american poet , translator , teacher , literary curator : 1963.
Sue Ramirez, a filipino actress : 1999.
James Kendall Hosmer, a american librarian , university professor : 1832.
Ellison Greenslade, a bahamian rbpf commissioner, was ______",1961,1,38.0,1953,born in 1963.,born in 1963.
52,"Shirish B. Patel, a india civil engineer, was born in 1929.
Bharati Mukherjee, a india , united states , canada professor , author , fiction writer , non-fiction writer , novelist , essayist , short story writer, was born in 1939.
William Clay Ford , Sr. ., a american chairman of detroit lions executive of ford motor company, was born in 1926.
Kārlis Irbītis, a latvian airplane designer, was ______","Shirish B. Patel, a india civil engineer : 1929.
Bharati Mukherjee, a india , united states , canada professor , author , fiction writer , non-fiction writer , novelist , essayist , short story writer : 1939.
William Clay Ford , Sr. ., a american chairman of detroit lions executive of ford motor company : 1926.
Kārlis Irbītis, a latvian airplane designer, was ______",1904,1,8.666666666666666,1902,born in 1904.,born in 1904.
53,"Jon Kay, a british television presenter, was born in 1975.
Hans Kristian Rausing, a swedish philanthropist, was born in 1965.
Bouck White, a american novelist , minister , political activist , potter, was born in 1875.
Ayman Asfari, a british businessman, was ______","Jon Kay, a british television presenter : 1975.
Hans Kristian Rausing, a swedish philanthropist : 1965.
Bouck White, a american novelist , minister , political activist , potter : 1875.
Ayman Asfari, a british businessman, was ______",1958,10,14.0,1955,born in 1958.,born in 1958.
54,"Johan Oscar Smith, a norway norwegian naval officer, was born in 1869.
J. Stapleton Roy, a american diplomat , ambassador, was born in 1939.
Fraser Nelson, a british journalist ) editor , '' the spectator '' (, was born in 1983.
Norman Fitzroy Maclean, a american author english literature professor, was ______","Johan Oscar Smith, a norway norwegian naval officer : 1869.
J. Stapleton Roy, a american diplomat , ambassador : 1939.
Fraser Nelson, a british journalist ) editor , '' the spectator '' ( : 1983.
Norman Fitzroy Maclean, a american author english literature professor, was ______",1902,72,18.666666666666668,1898,born in 1902.,born in 1902.
