,name,search_query,occupation,nationality,birth_year,wikipedia_birth_year,citation,description
12,Burkhard Balz,Burkhard Balz,banker,germany,1969,1969,7,"burkhard balz -lrb- born 24 july 1969 in lemgo -rrb- is a german politician and member of the european parliament .
he was elected on the cdu ticket and sits with the european people 's party group .
he is member of the committee on economic and monetary affairs -lrb- econ -rrb- , the special committee on the financial , economic and social crisis -lrb- cris -rrb- and the delegation for relations with the countries of southeast asia and the association of southeast asian nations -lrb- asean -rrb- .
in addition he is substitute for the committee on transport and tourism -lrb- tran -rrb- and the delegation for relations with the people 's republic of china .
"
13,Jiří Hudec,Jiří Hudec (composer),"composer , conductor and organist",czech,1923,1923,10,"jiří hudec -lrb- 31 august 1923 in brno , moravia -- 28 july 1996 -rrb- was a czech composer , conductor , arranger and organist .
"
14,Cokie Roberts,Cokie Roberts,"journalist , author",united states,1943,1943,48,"mary martha corinne morrison claiborne roberts -lrb- née boggs ; born december 27 , 1943 -rrb- , best known as cokie roberts , is an american journalist and author .
she is a contributing senior news analyst for national public radio as well as a regular roundtable analyst for the current `` this week with george stephanopoulos '' .
roberts also works as a political commentator for abc news , serving as an on-air analyst for the network .
roberts , along with her husband , steven v. roberts , writes a weekly column syndicated by united media in newspapers around the united states .
she serves on the boards of several non-profit organizations such as the kaiser family foundation and was appointed by president george w. bush to his council on service and civic participation .
"
15,Lewis Spence,Lewis Spence,"journalist , folklorist , occult scholar",scottish,1874,1874,10,"james lewis thomas chalmers spence -lrb- 25 november 1874 -- 3 march 1955 -rrb- was a scottish journalist , poet and author .
spence was a fellow of the royal anthropological institute of great britain and ireland , and vice-president of the scottish anthropological and folklore society .
"
16,Dominic Tildesley,Dominic Tildesley,chemist,british,1952,1952,9,"professor dominic tildesley -lrb- born 1952 , forest hill -rrb- is a british chemist .
he gained his undergraduate chemistry degree from the university of southampton in 1973 .
he went on to complete a dphil at oxford university in 1976 before undertaking postdoctoral research at penn state and cornell universities in the united states .
he returned to the university of southampton in the uk for a lectureship , before becoming professor of theoretical chemistry and moving to imperial college london in 1996 as professor of computational chemistry .
he began his industrial career in 1998 when he took the role of head of the physical science group at unilever research port sunlight , where he remained until 2012 .
he is director of the european centre for atomic and molecular computation at the in switzerland .
in july 2014 , he became president of the royal society of chemistry -lrb- succeeding professor lesley yellowlees -rrb- and received an honorary degree from the university of southampton .
"
17,Yūsei Matsui,Yūsei Matsui,manga artist,japanese,1979,1979,0,"yūsei provided the voice of the manga artist in episode 25 of the anime series `` majin tantei nougami neuro '' .
not much is known about him , but an interview can be found here .
"
18,Cuitlahuac Condado Escamilla,Cuitlahuac Condado Escamilla,politician,mexican,1978,1978,1,"cuitlahuac condado escamilla -lrb- born 1 january 1978 -rrb- is a mexican politician from the party of the democratic revolution .
from 2006 to 2009 he served as deputy of the lx legislature of the mexican congress representing veracruz .
"
19,Sir Kenneth Anderson,Ken Anderson (politician),"auctioneer , valuer",australian,1909,1909,8,"sir kenneth mccoll `` ken '' anderson kbe -lrb- 11 october 1909 -- 29 march 1985 -rrb- was an australian politician .
anderson was born at sea , off south australia , when his parents were returning from a visit to europe .
he was the son of david anderson -lrb- member for ryde in the new south wales legislative assembly , 1920 -- 1927 -rrb- and educated at ryde public school and petersham intermediate schools in sydney .
he worked as an insurance clerk , auctioneer , estate agent and property valuer in the sydney suburb of eastwood .
he married madge merrion in june 1936 .
he served in the second australian imperial force during world war ii as a lieutenant in the 8th signals division in malaya and was held by the japanese as a prisoner of war in for three years at changi prison and on the burma railway .
he was mayor of ryde municipal council from 1949 to 1950 .
"
20,John Allan Carpenter,Allan Carpenter,author,american,1917,1917,4,"john allan carpenter -lrb- born may 11 , 1917 in waterloo , iowa -- may 11 , 2002 in chicago , illinois -rrb- `` is one of the most respected non-fiction authors in american publishing history '' .
he was a prolific writer with more than 225 books to his credit .
by 1990 , his four `` `` enchantment '' series '' were approaching 10 million copies printed .
among his accomplishments is the founding of the national magazine `` the teachers digest '' .
at the age of 21 , he was the director of public relations for `` popular mechanics '' , a position he held for 19 years .
among his many writings are the sixteen-volume `` popular mechanics home handyman encyclopedia '' , the 52-volume `` enchantment of america '' state series and his 38-volume `` enchantment of africa '' series .
his book : `` illinois : land of lincoln '' , was the official book of the illinois sesquicentennial celebration in 1968 .
in 1993 , he co-authored `` world almanac of the u.s.a. '' .
`` for more than twenty-five years , intermittently , he served as clerk of session of the second presbyterian church in evanston , illinois . ''
he has been a member of many non-professional symphony orchestras including the chicago business men 's orchestra .
he was a founder and president of the music council of metropolitan chicago .
in 1988 , carpenter received a life achievement award from the university of northern iowa .
he was president of the society of wilson descendants for more than forty years .
carpenter was a life member of the illinois st. andrew society .
"
21,Jack Mcdevitt,Jack Mcdevitt,"novelist , short story writer",american,1935,1935,29,"jack mcdevitt -lrb- born april 14 , 1935 -rrb- is an american science fiction author whose novels frequently deal with attempts to make contact with alien races , and with archaeology or xenoarchaeology .
his two main series are the alex benedict series and the priscilla hutchins series .
mcdevitt 's first published story was `` the emerson effect '' in `` the twilight zone magazine '' in 1981 .
five years later , he published his first novel , `` the hercules text '' , about the discovery of an intelligently conceived signal whose repercussions threaten human civilization .
this novel set the tone for many of mcdevitt 's following novels , which focused on making first contact .
frequently this theme is mixed with both trepidation before the unknown and a sense of wonder at the universe .
with `` the engines of god '' -lrb- 1994 -rrb- , mcdevitt introduced the idea of a universe that was once teeming with intelligent life , but contains only their abandoned artifacts by the time humans arrive on the scene .
although it was initially written as a standalone novel , the main character of `` the engines of god '' , pilot priscilla hutchins , has since appeared in six more books , `` deepsix '' -lrb- 2001 -rrb- , `` chindi '' -lrb- 2002 -rrb- , `` omega '' -lrb- 2003 -rrb- , `` odyssey '' -lrb- 2006 -rrb- , `` cauldron '' -lrb- 2007 -rrb- and `` starhawk '' -lrb- 2013 -rrb- .
the mystery surrounding the destructive `` omega clouds '' -lrb- which are introduced in `` the engines of god '' -rrb- is left unexplored until `` omega '' .
mcdevitt 's novels frequently raise questions which he does not attempt to answer .
he prefers to leave ambiguities to puzzle and intrigue his readers : `` some things are best left to the reader 's very able imagination . ''
the sf site 's steven h silver has written about this : the novel `` seeker '' won the 2006 nebula award for best novel , given by the science fiction and fantasy writers of america .
he has been nominated for the nebula award sixteen times ; `` seeker '' is his only win .
"
22,Michael Bond Cbe,Michael Bond,author,english,1926,1926,49,"thomas michael bond , cbe -lrb- born 13 january 1926 -rrb- is an english author , most celebrated for his paddington bear series of books .
bond was awarded a cbe in the queen 's birthday honours 2015 .
"
23,Lyle Franklin Lane,Lyle Franklin Lane,diplomat,united states of america,1926,1926,3,"lyle franklin lane -lrb- september 19 , 1926 -- december 16 , 2013 -rrb- was a united states diplomat .
among his overseas posts ambassador lane served as the first chief of mission of the united states interests section in havana -lrb- heading the return of u.s. diplomats to cuba in 1977 -rrb- , united states ambassador to uruguay , and united states ambassador to paraguay .
"
24,Norm Maleng,Norm Maleng,attorney,american,1938,1938,11,"norman kim maleng -lrb- 1938 -- 2007 -rrb- served as the king county , washington , prosecutor for 28 years .
he was also an architect of washington 's sentencing reform act .
"
25,Kehinde Sofola,Kehinde Sofola,lawyer solicitor judge,nigerian,1924,1924,9,"chief kehinde sofola , qc , san , mon , con -lrb- march 1924 - april 2007 -rrb- was a prominent nigerian jurist and minister of justice during the second nigerian republic .
"
26,Jaleel White,Jaleel White,"actor , screenwriter , film and television producer",american,1976,1976,50,"jaleel ahmad white -lrb- born november 27 , 1976 -rrb- is an american television and film actor , producer and screenwriter .
in 1989 , he was cast in the role of steve urkel on the sitcom `` family matters '' .
the character , which was originally intended to be a one-time guest appearance , was an instant hit with audiences and white became a regular cast member .
the series aired for a total of nine seasons , from 1989 to 1997 on abc , and from 1997 to 1998 on cbs .
aside from this character , white is also known as the voice of sonic the hedgehog in the animated series `` adventures of sonic the hedgehog '' , `` sonic the hedgehog '' and `` sonic underground '' .
after `` family matters '' ended , white starred in the upn series `` grown ups '' from 1999 to 2000 .
he later attended ucla where he graduated with a degree in film and television in 2001 .
he has continued his acting career with roles in `` dreamgirls '' -lrb- 2006 -rrb- , and guest stints on `` boston legal '' , `` house '' , and `` psych '' .
in march 2012 , white appeared as a contestant in season 14 of `` dancing with the stars '' and was voted off in may 2012 .
in april 2012 , white hosted the game show `` total blackout '' , which aired on the syfy channel .
"
27,Antonia Jiménez Trava,Antonia Jiménez Trava,lawyer and educator,mexican,1917,1917,27,"antonia jiménez trava -lrb- 1917-2011 -rrb- was a mexican attorney .
she was the first female law graduate from uady , the first woman appointed to public office in yucatán .
she served as the first director of the civil registry , the first president of the electoral institute of the state and the first president of the judiciary .
she was a feminist , writing her dissertation on the legality of denying women the vote and when appointed to run the civil registry , she eliminated discriminatory texts from the marriage ceremony .
"
28,George H. V. Bulyea,George H. V. Bulyea,"teacher , businessman , politician",canadian,1859,1859,18,"george hedley vicars bulyea -lrb- february 17 , 1859 -- july 22 , 1928 -rrb- was a canadian politician and the first lieutenant governor of alberta .
as the youngest ever lieutenant governor , at age 46 , he was appointed by governor general lord earl grey on advice of the right honourable prime minister of canada sir wilfrid laurier on september 1 , 1905 .
he spent many years in the service of the territorial and provincial governments and played an important role in the early history of the province of alberta .
"
29,Sir Anthony Duff,Antony Duff,"intelligence officer , civil servant",british,1920,1920,10,"sir arthur antony duff , gcmg , cvo , dso , dsc , pc -lrb- 25 february 1920 -- 13 august 2000 -rrb- was director general -lrb- dg -rrb- of mi5 , the united kingdom 's internal security service , from 1985 to 1988 .
"
30,Zarine Khan,Zarine Khan,"actress , model",indian,1987,1987,0,"zarine khan -lrb- born 14 may 1987 -rrb- is an indian actress and model who appears in indian films , mainly in the hindi film industry , though has also appeared in tamil and punjabi films .
khan made her screen debut with a leading role in the 2010 anil sharma 's period film `` veer '' co-starring with salman khan for which she was nominated for the zee cine award for best female debut .
khan garnered recognition from her item number `` character dheela '' in `` ready '' , which was one of the highest-grossing bollywood films of 2011 .
khan earned commercial success in bollywood with sajid khan 's `` housefull 2 '' .
the following year , khan made her tamil debut in the tamil film `` naan rajavaga pogiren '' , in which she did an item number in the song `` malgove '' .
she achieved further success for her leading roles in the 2014 punjabi film `` jatt james bond '' , a box-office success .
"
31,Constant De Kerchove De Denterghem,Constant de Kerchove de Denterghem,politician,belgium,1790,1790,0,"count constant de kerchove de denterghem -lrb- 31 december 1790 -- 12 july 1865 -rrb- was a belgian liberal politician .
he was a son of jean de kerchove and sabine della faille d'assenede , both descendants of flemish nobility .
he was a nephew of jozef-sebastiaan della faille d'assenede , who was burgomaster of ghent under french rule .
as a young man constant de kerchove joined the french army under napoleon in 1810 and until 1814 .
he established himself in ghent as a person of independent means and in 1816 he married pauline de loose .
"
32,Lisa Howard,Lisa Howard (reporter),"reporter , actress",american,1930,1926,0,"lisa howard -lrb- april 24 , 1930 -- july 4 , 1965 -rrb- was a pioneering female journalist and television news anchor who previously had a career as an off-broadway theater and tv soap opera actress .
howard was born dorothy jean guggenheim in cambridge , ohio , she moved to los angeles at age eighteen and joined the pasadena playhouse .
from there she pursued a film and television career .
in 1953 , the entertainment magazine `` people today '' featured her on its front page , calling her `` tv 's first lady of sin '' .
she also had regular stints on `` as the world turns '' and `` the guiding light '' for cbs television in the 1950s .
after moving to new york city , howard starred in the off-broadway show , tis pity she 's a whore '' .
howard was married to movie director felix e. feist -lrb- 1910-1965 -rrb- and to walter lowendahl .
"
33,Isidoro Ruiz,Isidoro Ruiz,politician,mexican,1955,1955,1,"isidoro ruiz argaiz -lrb- born 19 june 1955 -rrb- is a mexican politician affiliated to the party of the democratic revolution .
as of 2014 he served as deputy of the lix legislature of the mexican congress as a plurinominal representative .
"
34,Irina Apeksimova,Irina Apeksimova,actress,russian,1966,1966,3,"irina apeksimova -lrb- -lrb- born january 13 , 1966 , volgograd , russia -rrb- is a russian stage and screen actress .
apeksimova was the child of classical musicians , victor nikolaevich apeksimov and svetlana yakivna apeksimova .
irina was the second child in the family ; her older brother valery later became a jazz composer and pianist in the united states .
because her parents worked in the theater and music -lrb- her father taught at a music school and later taught piano at a conservatory , and her mother was choirmaster at the municipal theater of musical comedy and later a choir conductor at a conservatory -rrb- , apeksimova was surrounded by talented and creative people .
she often stayed backstage at the musical theater , where the child actors did their homework and played .
apeksimova 's parents divorced when she was in the eighth grade , and she moved with her mother to odessa , where she studied acting .
after high school apeksimova went to moscow to enter the moscow art theater school , but was rejected because of her odessa accent .
back in odessa , she joined the odessa opera theater and danced for a year in the corps de ballet .
she then applied again to the moscow art theater school but was again rejected .
after this setback , irina returned to volgograd and joined the theater of musical comedy , in the corps de ballet .
after living in volgograd for a year , apeksimova had shed much of her odessa accent , and applied for a third time to the moscow art theater school .
she was accepted and admitted in 1986 into oleg tabakov 's class .
at the school , apeksimova became friends with fellow student valery nikolaev , and later married him .
her class , which also included vladimir mashkov and yevgeny mironov , was considered especially brilliant .
apeksimova was graduated in 1990 and joined the studio at the moscow art theatre , where she stayed until 2000 .
in 1994 , she won the best actress award at the paris film festival for her role in the film `` october '' -lrb- Октябрь -rrb- .
apeksimova is divorced and has a daughter , dasha .
"
35,Hans Lange,Hans Lange,"musician , violinist , conductor","prussian , since 1916 german , usa",1884,1884,6,"hans lange -lrb- february 17 , 1884 in istanbul -- august 13 , 1960 in albuquerque , new mexico -rrb- was a german-american conductor and musician .
he was a son of paul lange , who had been a lecturer for music at the american college for girls and german high school istanbul in the 1890s , and later was appointed the sultan 's director of music .
hans lange himself was an alumnus of german high school istanbul .
lange was educated in prague and other european cities .
after assignments in several german cities , for example in bielefeld , he entered the united states in 1925 with a german orchestra to give concerts .
the orchestra was dissolved during the tour , and lange had to restart his career .
lange joined the new york philharmonic orchestra as a violinist in 1927 , but began soon to conduct as well .
he became assistant of arturo toscanini , and rehearsed almost all his performances .
at that time , he also worked on his own as a conductor : besides numerous assignments as conductor of the new york philharmonic in concerts at the carnegie hall until 1936 , he e.g. recorded one of his wagner concerts with the famous soprano kirsten flagstad for hmv records .
in 1936 -- 1943 he worked as `` associate conductor '' and later became `` conductor '' -lrb- 1943 -- 46 -rrb- of the chicago symphony orchestra .
as he had not taken up us citizenship during the war , his contract with cso was not extended in 1946 .
on may 12 , 1940 , he recorded with the cso and the polish american piano virtuoso jozef hofmann beethovens piano concert no. 5 -lrb- `` emperor '' -rrb- .
the recording -lrb- 35 minutes -rrb- has been published in cso 's own historic series and in jozef hofmann anthologies .
in the same year lange conducted the cso during its legendary concert with u.s. piano legend liberace at the pabst theater in milwaukee .
in 1946-1949 lange worked in toledo , ohio , with the local friends of music orchestra -lrb- later toledo symphony orchestra -rrb- .
on april 13 , 1947 , he was invited again by his former boss toscanini to new york to perform as guest conductor at the nbc symphony orchestra .
in 1950 , lange started to work with the albuquerque civic symphony , less than two years after his predecessor kurt frederick had managed to bring the world premiere of schoenbergs `` a survivor from warsaw '' to albuquerque in november 1948 .
lange transformed the acs from an amateur ensemble into what is today known as new mexico symphony orchestra -lrb- nmso -rrb- and one of the leading professional orchestras in the united states .
he was a national patron of delta omicron , an international professional music fraternity .
during his tenure in chicago , lange was one of the teachers and mentors of composer leon stein .
"
36,Akmal Shaikh,Akmal Shaikh,former estate agent/mini-cab businessman,british,1956,1956,142,"akmal shaikh -lrb- 5 april 1956 -- 29 december 2009 -rrb- was a pakistani-british businessman who was convicted and executed in china for drug trafficking .
the trial and execution attracted significant media attention in the uk .
shaikh was born in pakistan and moved to the united kingdom as a child .
after a couple of failed businesses , shaikh moved to poland with his second wife in 2005 with the dream of starting an airline , and later of becoming a pop star .
he travelled from poland to china and was arrested by chinese customs officers at Ürümqi diwopu international airport on 12 september 2007 with of heroin hidden in a compartment in his baggage .
shaikh 's defence team pleaded ignorance of the existence of the drugs , although his lawyers said that the evidence against shaikh was `` overwhelming '' .
reprieve , an anti-death penalty organisation , argued that shaikh suffered from mental illness which was exploited by criminals who tricked him into transporting the heroin on the promise of a recording contract .
shaikh , who had never been assessed by mental health experts , denied he was mentally ill .
he had requested a psychiatric evaluation to prove he was sane , but the requests were refused by chinese authorities on the grounds that prc laws required defendants to first provide past medical records showing evidence of a mental disorder before such evaluations could be undertaken .
appeals for clemency were made by his family and by british government officials .
after two appeals , the supreme court confirmed the death sentence he was given at his first trial in october 2008 , and shaikh was executed by lethal injection in Ürümqi on 29 december 2009 .
it was reported that shaikh was the first european national to be executed in china since antonio riva in 1951 .
lau fat-wai , a portuguese citizen , also faced drug trafficking charges back in 2006 , before akmal shaikh , but mr. lau 's death sentence was only carried out early in 2013 .
britain made 27 official representations to the chinese government ; the chinese ambassador to london was summoned twice to meet british foreign office ministers , once after the execution .
senior british politicians strongly condemned the execution , and were disappointed that clemency was not granted , while human rights groups and some western legal experts in chinese law criticised the lack of due process ; united nations special rapporteur , philip alston , said the refusal to assess shaikh 's mental health was a violation of international law .
the chinese embassy in britain said shaikh had no `` previous medical record '' of mental illness and that his `` rights and interests were properly respected and guaranteed '' .
it said the chinese stance underlined the `` strong resentment '' felt by its public to drug traffickers , in part based on `` the bitter memory of history '' -- a reference to the first and second opium wars .
a professor of criminal law at the east china university of political science and law said the administration of the death penalty related to a country 's history , culture and other conditions : `` it 's human nature to plead for a criminal who is from the same country or the same family , but judicial independence should be fully respected and everyone should be equal before the law . ''
"
37,Robert Arum,Bob Arum,lawyer boxing promoter businessman,united states,1931,1931,49,"robert `` bob '' arum -lrb- born december 8 , 1931 in new york city -rrb- is an american lawyer , boxing promoter and businessman .
he is the founder and ceo of top rank , a professional boxing promotion company based in las vegas .
he also worked for the us attorney 's office for the southern district of new york in the tax division during his legal career before moving into boxing promotion .
"
38,Dr Gauri Shankar Shejwar,Gauri Shankar Shejwar,"cabinet govt . of madhya pradesh minister - forests , bio-diversity and biotechnology ,",indian,1950,1950,0,"elected to vidhan sabha for the first time at the age of 27 years in 1977 , dr. shejwar was appointed parliamentary secretary of public health & family welfare department .
he was also state vice-president of janata yuva morcha .
he has been elected bharatiya janata party -lrb- bjp -rrb- mla 7 times from raisen district in madhya pradesh -lrb- mp -rrb- .
he has been the lead campaign manager for former prime minister atal bihari vajpayee when the latter won from vidisha lok sabha constituency in mp during the 1991 general elections .
in the past , he was cabinet minister in three different bjp governments that have governed madhya pradesh .
he has held important portfolios such as home affairs , power & energy , health , and education during his different tenures as a minister .
he has also served as the leader of opposition -lrb- 1999 -- 2002 -rrb- for bjp in the mp legislative assembly during digvijay singh led congress government 's second term in power .
born in 1950 in udaipura in raisen district , dr shejwar is involved with farming and healthcare activities .
he is married to dr kiran shejwar and has a son and two daughters .
"
39,James E. Cayne,James Cayne,businessman,united states,1934,1934,29,"james e. `` jimmy '' cayne -lrb- born february 14 , 1934 -rrb- is an american businessman , a former ceo of bear stearns .
in 2006 he became `` the first wall street chief to own a company stake worth more than $ 1 billion '' but he lost most of that in the 2007 -- 2008 collapse of bear stearns ' stock and sold his entire stake in the company for $ 61 million .
cnbc named cayne as one of the `` worst american ceos of all time '' .
cayne is from new york city .
"
40,Terutomo Yamazaki 山崎 照朝,Terutomo Yamazaki,grandmaster of gyakushin-kai,jpn japan,1947,1947,75,"yamazaki is a first champion of the all-japan full contact karate open championships in 1969 , and has promoted kyokushin famous through his accomplishments .
because he fought and defeated muay thai boxers , he created a reputation for kyokushin before the first all-japan open full contact karate championships was held .
yamazaki is highly skilled at and an authority on fighting and breaking .
when he fought someone , it was usual that he knocked them out without receiving any injuries himself .
he is nicknamed `` the genius karate fighter '' or `` the dragon of kyokushin '' , and when he was an active fighter , he was the most popular figure of the time .
he has shown off his mixed karate and muai thai style of fighting at both full contact karate open championships and kickboxing , and has been noted internationally as a prominent fighter in karate 's history , appearing in black belt magazine in the united states .
"
41,Cleveland Robinson,Cleveland Robinson,labor organizer,american,1914,1914,4,"cleveland lowellyn `` cleve '' robinson -lrb- december 12 , 1914 - august 23 , 1995 -rrb- was an american labor organizer , and civil rights activist .
"
42,Debra Ann Mcgee,Debbie Mcgee,radio presenter and magician 's assistant,english,1958,1958,45,"debra `` debbie '' ann mcgee -lrb- born 31 october 1958 -rrb- is an english television , radio and stage performer who is best known as the wife and assistant of magician paul daniels .
mcgee is a former ballet dancer and , for three years , she was artistic director of her own ballet company .
she presents a sunday morning show for bbc radio berkshire .
"
43,Adil Mansuri,Adil Mansuri,"poet , playwright , calligrapher , artist",indian,1936,1936,9,"adil mansuri -lrb- 18 may 1936 -- 6 november 2008 -rrb- was a well-known poet , playwright , and calligrapher .
he wrote in several languages , namely , gujarati , hindi , and urdu .
"
44,Cornelia Hatcher,Cornelia Templeton Hatcher,activist,american,1867,1867,19,"cornelia hatcher -lrb- 1867 -- 1953 -rrb- was an american suffragette and temperance activist .
in 2009 , hatcher was named to the alaska women 's hall of fame .
"
45,Nilesh Sahay,Nilesh Sahay,film actor,indian,1983,1982,2,"nilesh sahay is an indian film actor .
sahay made his film debut in ganesh acharaya 's 2011 film `` angel '' .
"
46,Carlos Alberto Flores Gutiérrez,Carlos Alberto Flores Gutiérrez,politician,mexican,1974,1974,1,"carlos alberto flores gutiérrez -lrb- born 13 july 1974 -rrb- is a mexican politician from the national action party .
from 2000 to 2003 he served as deputy of the lviii legislature of the mexican congress representing the federal district .
"
47,R. N. Jayagopal,R. N. Jayagopal,"lyricist , film director",indian,1935,1935,2,"r. n. jayagopal -lrb- 1935 -- 19 may 2008 -rrb- was an indian film director and lyricist in kannada cinema .
he had written over 12,000 film songs .
"
48,Jill Tarter,Jill Tarter,astronomer,united states,1944,1944,38,"jill cornell tarter -lrb- born january 16 , 1944 -rrb- is an american astronomer and the former director of the center for seti research , holding the bernard m. oliver chair for seti at the seti institute .
astronomer dr. jill tarter is the holder of the bernard m. oliver chair for seti .
"
49,George Barbier,George Barbier (actor),actor,united states,1864,1864,6,"george w. barbier -lrb- november 19 , 1864 -- july 19 , 1945 -rrb- was an american film and stage actor .
"
