,Unnamed: 0,name,search_query,occupation,nationality,birth_year,wikipedia_birth_year,citation,Prompt1,GPT 4 Response Prompt1
10,10,Samuel Jackson,Samuel Jackson (lawyer),attorney and solicitor,england,1831.0,1831,46,Samuel Jackson was a england attorney and solicitor. When was Samuel Jackson born?,"I'm sorry, but I couldn't find any information about an attorney or solicitor named Samuel Jackson from England. Could you provide more details?"
11,11,Zhu Jun,Zhu Jun (businessman),"founder shanghai shenhua football club of the9 , inc. selected chairman of the",singapore,1966.0,1966,11,"Zhu Jun was a singapore founder shanghai shenhua football club of the9 , inc. selected chairman of the. When was Zhu Jun born?","Zhu Jun was born on March 22, 1966."
12,12,Malcolm Todd,Malcolm Todd,academic and archaeologist,united kingdom,1939.0,1939,39,Malcolm Todd was a united kingdom academic and archaeologist. When was Malcolm Todd born?,"Malcolm Todd was born on June 25, 1939."
13,13,Rip Esselstyn,Rip Esselstyn,health activist and food writer,american,1963.0,1963,30,Rip Esselstyn was a american health activist and food writer. When was Rip Esselstyn born?,"Rip Esselstyn was born on September 5, 1963."
14,14,Thomas Rivett,Thomas Rivett,landowner and politician,english,1679.0,1679,1,Thomas Rivett was a english landowner and politician. When was Thomas Rivett born?,"There seems to be multiple individuals named Thomas Rivett, and without more specific information, it's difficult to provide an accurate birth date. For example, Thomas Rivett-Carnac, an English landowner and politician, was born in 1807. However, there may be other individuals named Thomas Rivett with different birth dates. Please provide more specific information."
15,15,Paul Mangwana,Paul Mangwana,cabinet minister,zimbabwean,1961.0,1961,11,Paul Mangwana was a zimbabwean cabinet minister. When was Paul Mangwana born?,"Paul Mangwana was born on August 10, 1961."
16,16,Salim Khan,Salim Khan,"actor , scriptwriter",indian,1935.0,1935,41,"Salim Khan was a indian actor , scriptwriter. When was Salim Khan born?","Salim Khan was born on November 24, 1935."
17,17,August Košutić,August Košutić,politician,croat,1893.0,1893,41,August Košutić was a croat politician. When was August Košutić born?,"August Košutić was born on August 20, 1872."
18,18,Anthony Julian,Anthony Julian,attorney judge,american,1902.0,1902,2,Anthony Julian was a american attorney judge. When was Anthony Julian born?,"Anthony Julian was born on January 29, 1902."
19,19,Gary Klein,Gary A. Klein,research psychologist,american,1944.0,1944,11,Gary Klein was a american research psychologist. When was Gary Klein born?,"Gary Klein was born on February 5, 1944."
20,20,Miyuki Miyabe,Miyuki Miyabe,author,japanese,1960.0,1960,68,Miyuki Miyabe was a japanese author. When was Miyuki Miyabe born?,"Ed Baird was born on March 17, 1958."
21,21,Hovhannes Hovhannisyan,Hovhannes Hovhannisyan,"writer , translator , teacher",armenian,1864.0,1864,11,"Hovhannes Hovhannisyan was a armenian writer , translator , teacher. When was Hovhannes Hovhannisyan born?","Thomas Jefferson Anderson was born on August 9, 1910."
22,22,Petter Anker Stordalen,Petter Stordalen,investor,norwegian,1962.0,1962,87,Petter Anker Stordalen was a norwegian investor. When was Petter Anker Stordalen born?,"Arthur Bourns was born on May 8, 1919."
23,23,Enzo G. Baldoni,Enzo Baldoni,journalist,italian,1948.0,1948,2,Enzo G. Baldoni was a italian journalist. When was Enzo G. Baldoni born?,"Viktor Medvedchuk was born on August 7, 1954."
24,24,Suyyash Kumar Rai,Suyyash Rai,"model , actor , singer , photographer",indian,1989.0,1989,14,"Suyyash Kumar Rai was a indian model , actor , singer , photographer. When was Suyyash Kumar Rai born?","Stevan Mokranjac was born on January 9, 1856."
25,25,Acacio Gabriel Viegas,Acacio Gabriel Viegas,"physician , councillor",indian,1856.0,1856,0,"Acacio Gabriel Viegas was a indian physician , councillor. When was Acacio Gabriel Viegas born?","Ayaka Saitō was born on June 2, 1988."
26,26,Michael L. Gillette,Michael L Gillette,"historian , executive director",american,1945.0,1945,0,"Michael L. Gillette was a american historian , executive director. When was Michael L. Gillette born?","Michael Shenstone was born on November 2, 1928."
27,27,Mark Harris,Mark Harris (author),writer,american,1922.0,1922,14,Mark Harris was a american writer. When was Mark Harris born?,"George P. Mitchell was born on May 21, 1919."
28,28,Li Yong -Lrb- 李咏 -Rrb-,Li Yong (television Host),television presenter,china people 's republic of china,1968.0,1968,18,Li Yong -Lrb- 李咏 -Rrb- was a china people 's republic of china television presenter. When was Li Yong -Lrb- 李咏 -Rrb- born?,"Yank Barry was born on January 29, 1948."
29,29,Michael Fertik,Michael Fertik,founder & chief executive officer of reputation.com,american,1978.0,1978,24,Michael Fertik was a american founder & chief executive officer of reputation.com. When was Michael Fertik born?,"Roberto Ivens was born on June 12, 1850."
30,30,Akmal Shaikh,Akmal Shaikh,former estate agent/mini-cab businessman,british,1956.0,1956,142,Akmal Shaikh was a british former estate agent/mini-cab businessman. When was Akmal Shaikh born?,"I'm sorry, but I couldn't find any information about an attorney or solicitor named Samuel Jackson from England. Could you provide more details?"
31,31,György Moldova,György Moldova,writer,hungarian,1934.0,1934,0,György Moldova was a hungarian writer. When was György Moldova born?,"Zhu Jun was born on March 22, 1966."
32,32,James M. Taylor,James M. Taylor,test pilot,american,1930.0,1930,12,James M. Taylor was a american test pilot. When was James M. Taylor born?,"Malcolm Todd was born on June 25, 1939."
33,33,Diana Barnato Walker,Diana Barnato Walker,aviator,united kingdom british,1918.0,1918,14,Diana Barnato Walker was a united kingdom british aviator. When was Diana Barnato Walker born?,"Rip Esselstyn was born on September 5, 1963."
34,34,Sir Thomas Percy Nunn,Percy Nunn,educationist,british,1870.0,1870,5,Sir Thomas Percy Nunn was a british educationist. When was Sir Thomas Percy Nunn born?,"There seems to be multiple individuals named Thomas Rivett in history, and without more specific information, it's difficult to provide an accurate birth date. Please provide more details."
35,35,Alexander Frederik De Savornin Lohman,Alexander de Savornin Lohman,lawyer,dutch,1837.0,1837,1,Alexander Frederik De Savornin Lohman was a dutch lawyer. When was Alexander Frederik De Savornin Lohman born?,"Paul Mangwana was born on August 10, 1961."
36,36,David L. Gunn,David L. Gunn,transportation official,united states of america / canada,1937.0,1937,28,David L. Gunn was a united states of america / canada transportation official. When was David L. Gunn born?,"Salim Khan was born on November 24, 1935."
37,37,Willem Ruis,Willem Ruis,"television presenter , broadcaster",dutch,1945.0,1945,2,"Willem Ruis was a dutch television presenter , broadcaster. When was Willem Ruis born?","August Košutić was born on August 20, 1906."
38,38,Kayyara Kinhanna Rai,Kayyar Kinhanna Rai,"novelist , essayist , journalist , teacher , farmer",indian,1915.0,1915,29,"Kayyara Kinhanna Rai was a indian novelist , essayist , journalist , teacher , farmer. When was Kayyara Kinhanna Rai born?","Anthony Julian was born on January 29, 1902."
39,39,Marina Fernandez,Marina Fernandez,actress,croatian,1981.0,1981,0,Marina Fernandez was a croatian actress. When was Marina Fernandez born?,"Gary Klein was born on February 5, 1944."
40,40,Gamal Salem,Gamal Salem,minister -lrb- 1954-59 -rrb- of communications -lrb- 1952-54 -rrb- deputy prime minister,egyptian,1918.0,1918,13,Gamal Salem was a egyptian minister -lrb- 1954-59 -rrb- of communications -lrb- 1952-54 -rrb- deputy prime minister. When was Gamal Salem born?,"Ed Baird was born on March 17, 1958."
41,41,Lily Auchincloss,Lily Auchincloss,"journalist , philanthropist , art collector",american,1922.0,1922,9,"Lily Auchincloss was a american journalist , philanthropist , art collector. When was Lily Auchincloss born?","Thomas Jefferson Anderson was born on August 9, 1910."
42,42,Xiao Fuxing Zh-Hans 肖复兴,Xiao Fuxing,novelist,chinese,1947.0,1947,47,Xiao Fuxing Zh-Hans 肖复兴 was a chinese novelist. When was Xiao Fuxing Zh-Hans 肖复兴 born?,"Arthur Bourns was born on May 8, 1919."
43,43,Jackie Guerrido,Jackie Guerrido,weather forecaster and journalist,puerto rican,1972.0,1970,6,Jackie Guerrido was a puerto rican weather forecaster and journalist. When was Jackie Guerrido born?,"Viktor Medvedchuk was born on August 7, 1954."
44,44,Maja Haderlap,Maja Haderlap,"novelist , poet",austrian,1961.0,1961,5,"Maja Haderlap was a austrian novelist , poet. When was Maja Haderlap born?","Stevan Mokranjac was born on January 9, 1856."
45,45,Nawazuddin Siddiqui,Nawazuddin Siddiqui,actor,indian,1974.0,1974,76,Nawazuddin Siddiqui was a indian actor. When was Nawazuddin Siddiqui born?,"Ayaka Saitō was born on June 2, 1988."
46,46,Elizabeth Harrison,Elizabeth Harrison (educator),"college president , founder , educator , and author",united states,1849.0,1849,18,"Elizabeth Harrison was a united states college president , founder , educator , and author. When was Elizabeth Harrison born?","Michael Shenstone was born on November 2, 1928."
47,47,Samuel Theis,Samuel Theis,"actor , film director , screenwriter",french,1978.0,1978,2,"Samuel Theis was a french actor , film director , screenwriter. When was Samuel Theis born?","George P. Mitchell was born on May 21, 1919."
48,48,Chloe Sims,Chloe Sims (television Personality),"actress , entrepreneur , glamour model",english,1981.0,1981,0,"Chloe Sims was a english actress , entrepreneur , glamour model. When was Chloe Sims born?","Yank Barry was born on January 29, 1948."
49,49,Roger Beale,Roger Beale,public servant,australia australian,1946.0,1946,15,Roger Beale was a australia australian public servant. When was Roger Beale born?,"Roberto Ivens was born on June 12, 1850."
50,50,George Copos,George Copos,businessman,romanian,1953.0,1953,5,George Copos was a romanian businessman. When was George Copos born?,"I'm sorry, but I couldn't find any information on an attorney or solicitor named Samuel Jackson from England. Could you provide more details?"
51,51,Reginaldo Rivera De La Torre,Reginaldo Rivera de la Torre,politician,mexican,1960.0,1960,1,Reginaldo Rivera De La Torre was a mexican politician. When was Reginaldo Rivera De La Torre born?,"Zhu Jun was born on March 22, 1966."
52,52,Lokesh,Lokesh,"actor , film director",indian,1947.0,1947,3,"Lokesh was a indian actor , film director. When was Lokesh born?","Malcolm Todd was born on June 25, 1939."
53,53,Roy Daugherty,Roy Daugherty,outlaw,american,1870.0,1870,2,Roy Daugherty was a american outlaw. When was Roy Daugherty born?,"Rip Esselstyn was born on September 5, 1963."
54,54,Fernando Vallejo,Fernando Vallejo,"novelist biologist , film director , screenwriter , biographer and",mex mexico col colombian,1942.0,1942,4,"Fernando Vallejo was a mex mexico col colombian novelist biologist , film director , screenwriter , biographer and. When was Fernando Vallejo born?","There seems to be multiple individuals named Thomas Rivett, and without more specific information, it's difficult to provide an accurate birth date. For example, Thomas Rivett-Carnac, an English landowner and politician, was born in 1807. However, there may be other individuals named Thomas Rivett with different birth dates. Please provide more specific information."
55,55,Seth Lochhead,Seth Lochhead,screenwriter,canadian,1981.0,1981,15,Seth Lochhead was a canadian screenwriter. When was Seth Lochhead born?,"Paul Mangwana was born on August 10, 1961."
56,56,Fifi Young 陳肯牛,Fifi Young,actress,indonesian,1914.0,1915,30,Fifi Young 陳肯牛 was a indonesian actress. When was Fifi Young 陳肯牛 born?,"Salim Khan was born on November 24, 1935."
57,57,Shaukat Galiev,Shaukat Galiev,"editor , publicist , writer",tatar,1928.0,1928,0,"Shaukat Galiev was a tatar editor , publicist , writer. When was Shaukat Galiev born?","August Košutić was born on August 20, 1872."
58,58,Hayley Atwell,Hayley Atwell,actress,"british , american",1982.0,1982,75,"Hayley Atwell was a british , american actress. When was Hayley Atwell born?","Anthony Julian was born on January 29, 1902."
59,59,Sir Bill Cotton,Bill Cotton,television producer,british,1928.0,1928,5,Sir Bill Cotton was a british television producer. When was Sir Bill Cotton born?,"Gary Klein was born on February 5, 1944."
60,60,Rob Pelinka,Rob Pelinka,sports agent,american,1969.0,1969,288,Rob Pelinka was a american sports agent. When was Rob Pelinka born?,"Ed Baird was born on March 17, 1958."
61,61,Vaithamanithi Mudumbai Kothainayaki Ammal,Kothainayaki Ammal,"novelist , social activist , writer , publisher , singer , composer",indian,1901.0,1901,0,"Vaithamanithi Mudumbai Kothainayaki Ammal was a indian novelist , social activist , writer , publisher , singer , composer. When was Vaithamanithi Mudumbai Kothainayaki Ammal born?","Thomas Jefferson Anderson was born on August 9, 1910."
62,62,Tony Morphett,Tony Morphett,writer,australian,1938.0,1938,17,Tony Morphett was a australian writer. When was Tony Morphett born?,"Arthur Bourns was born on November 8, 1919."
63,63,Sharryn Jackson,Sharryn Jackson,unionist,australian,1962.0,1962,38,Sharryn Jackson was a australian unionist. When was Sharryn Jackson born?,"Viktor Medvedchuk was born on August 7, 1954."
64,64,Adolph Stöhr,Adolph Stöhr,professor of philosophy and psychology,austrian,1855.0,1855,0,Adolph Stöhr was a austrian professor of philosophy and psychology. When was Adolph Stöhr born?,"Stevan Mokranjac was born on January 9, 1856."
65,65,Cristabell Zamora,Cristabell Zamora,politician,mexican,1979.0,1979,1,Cristabell Zamora was a mexican politician. When was Cristabell Zamora born?,"Ayaka Saitō was born on June 2, 1988."
66,66,Frederick William Rolfe,Frederick Rolfe,"novelist , artist , fantasist , eccentric",english,1860.0,1860,20,"Frederick William Rolfe was a english novelist , artist , fantasist , eccentric. When was Frederick William Rolfe born?","Michael Shenstone was born on November 2, 1928."
67,67,John Edgar Wideman,John Edgar Wideman,professor,american,1941.0,1941,139,John Edgar Wideman was a american professor. When was John Edgar Wideman born?,"George P. Mitchell was born on May 21, 1919."
68,68,Arne Strand,Arne Strand,"journalist and editor , '' dagsavisen ''",norwegian,1944.0,1944,5,"Arne Strand was a norwegian journalist and editor , '' dagsavisen ''. When was Arne Strand born?","Yank Barry was born on January 29, 1948."
69,69,Rick D. Valente,Rick Valente,"personal trainer , bodybuilder , and television personality",american,1958.0,1958,26,"Rick D. Valente was a american personal trainer , bodybuilder , and television personality. When was Rick D. Valente born?","Roberto Ivens was born on June 12, 1850."
70,70,Dr Max Poulter,Max Poulter,lecturer,australian,1913.0,1913,9,Dr Max Poulter was a australian lecturer. When was Dr Max Poulter born?,"The information about the birth date of Samuel Jackson, the England attorney and solicitor, is not readily available. It seems there might be confusion with other individuals named Samuel Jackson. Could you provide more specific details?"
71,71,Charles-Ferdinand Ramuz,Charles-Ferdinand Ramuz,"novelist , poet",swiss,1878.0,1878,0,"Charles-Ferdinand Ramuz was a swiss novelist , poet. When was Charles-Ferdinand Ramuz born?","Zhu Jun was born on March 22, 1966."
72,72,Letitia Elizabeth Landon,Letitia Elizabeth Landon,writer,english,1802.0,1802,70,Letitia Elizabeth Landon was a english writer. When was Letitia Elizabeth Landon born?,"Malcolm Todd was born on June 25, 1939."
73,73,Morgan Bell,Morgan Bell,author civil engineer,australian,1981.0,1981,91,Morgan Bell was a australian author civil engineer. When was Morgan Bell born?,"Rip Esselstyn was born on September 5, 1963."
74,74,James Hadley Chase,James Hadley Chase,novelist,british,1906.0,1906,16,James Hadley Chase was a british novelist. When was James Hadley Chase born?,"There seems to be multiple individuals named Thomas Rivett, and without more specific information, it's difficult to provide an accurate birth date. For example, Thomas Rivett-Carnac, an English landowner and politician, was born in 1807. However, there may be other individuals named Thomas Rivett with different birth dates. Please provide more specific information."
75,75,Tamara Bunke Aka Tania,Tamara Bunke,"communist revolutionary , cuban spy",east german cuban,1937.0,1937,58,"Tamara Bunke Aka Tania was a east german cuban communist revolutionary , cuban spy. When was Tamara Bunke Aka Tania born?","Paul Mangwana was born on August 10, 1961."
76,76,Daniel Arévalo Gallegos,Daniel Arévalo Gallegos,politician,mexican,1962.0,1962,1,Daniel Arévalo Gallegos was a mexican politician. When was Daniel Arévalo Gallegos born?,"Salim Khan was born on November 24, 1935."
77,77,Charles `` Chuck '' Mcdew,Charles Mcdew,teacher,american,1938.0,1938,45,Charles `` Chuck '' Mcdew was a american teacher. When was Charles `` Chuck '' Mcdew born?,"August Košutić was born on August 4, 1872."
78,78,Delphine Chanéac,Delphine Chanéac,actress,french,1978.0,1978,6,Delphine Chanéac was a french actress. When was Delphine Chanéac born?,"Anthony Julian was born on January 29, 1902."
79,79,Christopher French,Chris French,psychologist,british,1956.0,1956,39,Christopher French was a british psychologist. When was Christopher French born?,"Gary Klein was born on February 5, 1944."
80,80,Charles Jérémie Coulombe,Charles Jérémie Coulombe,physician,canadian,1846.0,1846,0,Charles Jérémie Coulombe was a canadian physician. When was Charles Jérémie Coulombe born?,"Ed Baird was born on March 17, 1958."
81,81,Joanna Christie,Joanna Christie,actress,british,1982.0,1982,19,Joanna Christie was a british actress. When was Joanna Christie born?,"Thomas Jefferson Anderson was born on August 9, 1910."
82,82,Peter Bergman,Peter Bergman (comedian),"comedian , actor , writer",american,1939.0,1939,5,"Peter Bergman was a american comedian , actor , writer. When was Peter Bergman born?","Arthur Bourns was born on May 8, 1919."
83,83,Emmanuel Tumusiime-Mutebile,Emmanuel Tumusiime-Mutebile,economist & central banker,ugandan,1949.0,1949,15,Emmanuel Tumusiime-Mutebile was a ugandan economist & central banker. When was Emmanuel Tumusiime-Mutebile born?,"Viktor Medvedchuk was born on August 7, 1954."
84,84,Adolf Zeising,Adolf Zeising,psychologist,german,1810.0,1810,4,Adolf Zeising was a german psychologist. When was Adolf Zeising born?,"Stevan Mokranjac was born on January 9, 1856."
85,85,Patrick Bokanowski,Patrick Bokanowski,filmmaker,french,1943.0,1943,8,Patrick Bokanowski was a french filmmaker. When was Patrick Bokanowski born?,"Ayaka Saitō was born on June 2, 1988."
86,86,"Eugenio M. López , Jr. .","Eugenio Lopez, Jr.","chairman , abs-cbn corporation ; businessman",filipino,1928.0,1928,0,"Eugenio M. López , Jr. . was a filipino chairman , abs-cbn corporation ; businessman. When was Eugenio M. López , Jr. . born?","Michael Shenstone was born on November 2, 1928."
87,87,Harry Foll,Harry Foll,"clerk , soldier",english australian,1890.0,1890,10,"Harry Foll was a english australian clerk , soldier. When was Harry Foll born?","George P. Mitchell was born on May 21, 1919."
88,88,Carol Chomsky,Carol Chomsky,linguist,american,1930.0,1930,12,Carol Chomsky was a american linguist. When was Carol Chomsky born?,"Yank Barry was born on January 29, 1948."
89,89,Vasyl Stefanyk Василь Семенович Стефаник,Vasyl Stefanyk,prose writer and political activist,"austro-hungarian empire , poland",1871.0,1871,0,"Vasyl Stefanyk Василь Семенович Стефаник was a austro-hungarian empire , poland prose writer and political activist. When was Vasyl Stefanyk Василь Семенович Стефаник born?","Roberto Ivens was born on June 12, 1850."
90,90,Disha Parmar,Disha Parmar,"television actress , model",indian,1994.0,1994,36,"Disha Parmar was a indian television actress , model. When was Disha Parmar born?","I'm sorry, but I couldn't find any information about an attorney or solicitor named Samuel Jackson from England. Could you provide more details?"
91,91,Aimee Kelly,Aimee Kelly,actress,english,1993.0,1993,0,Aimee Kelly was a english actress. When was Aimee Kelly born?,"Zhu Jun was born on March 22, 1966."
92,92,John Riordan,John Riordan (mathematician),mathematician,american,1903.0,1903,7,John Riordan was a american mathematician. When was John Riordan born?,"Malcolm Todd was born on June 25, 1939."
93,93,Steven Sasson,Steven Sasson,electrical engineer inventor,american,1950.0,1950,19,Steven Sasson was a american electrical engineer inventor. When was Steven Sasson born?,"Rip Esselstyn was born on September 5, 1963."
94,94,Paul Braddy,Paul Braddy,solicitor,australian,1939.0,1939,7,Paul Braddy was a australian solicitor. When was Paul Braddy born?,"There seems to be multiple individuals named Thomas Rivett, and without more specific information, it's difficult to provide an accurate birth date. For example, Thomas Rivett-Carnac, an English landowner and politician, was born in 1807. However, there may be other individuals named Thomas Rivett with different birth dates. Please provide more specific information."
95,95,Peggy Kelman,Peggy Kelman,aviator,australian,1909.0,1909,16,Peggy Kelman was a australian aviator. When was Peggy Kelman born?,"Paul Mangwana was born on August 10, 1961."
96,96,Juri Ueno,Juri Ueno,actress,japanese,1986.0,1986,27,Juri Ueno was a japanese actress. When was Juri Ueno born?,"Salim Khan was born on November 24, 1935."
97,97,Igor Uporov,Igor Uporov,lawyer,russian,1965.0,1965,9,Igor Uporov was a russian lawyer. When was Igor Uporov born?,"August Košutić was born on August 20, 1872."
98,98,Bruce Goodluck,Bruce Goodluck,company director,australian,1933.0,1933,6,Bruce Goodluck was a australian company director. When was Bruce Goodluck born?,"Anthony Julian was born on January 29, 1902."
99,99,Paul L. Smith,Paul L. Smith,"actor , singer , comedian",american,1936.0,1936,4,"Paul L. Smith was a american actor , singer , comedian. When was Paul L. Smith born?","Gary Klein was born on February 5, 1944."
100,100,Mikel Ruffinelli,Mikel Ruffinelli,model/housewife,american,1972.0,1973,3,Mikel Ruffinelli was a american model/housewife. When was Mikel Ruffinelli born?,"Ed Baird was born on March 17, 1958."
101,101,M. V. Rajamma,M. V. Rajamma,"actress , producer , playback singer",indian,1923.0,1918,6,"M. V. Rajamma was a indian actress , producer , playback singer. When was M. V. Rajamma born?","Thomas Jefferson Anderson was born on August 9, 1910."
102,102,Hilda Ceballos,Hilda Ceballos,politician,mexican,1956.0,1956,1,Hilda Ceballos was a mexican politician. When was Hilda Ceballos born?,"Arthur Bourns was born on May 8, 1919."
103,103,Dr. Beyene Petros ዶ / ር በየነ ጴጥሮስ,Beyene Petros,biology professor politician,ethiopian,1950.0,1950,2,Dr. Beyene Petros ዶ / ር በየነ ጴጥሮስ was a ethiopian biology professor politician. When was Dr. Beyene Petros ዶ / ር በየነ ጴጥሮስ born?,"Viktor Medvedchuk was born on August 7, 1954."
104,104,Lance Barnard,Lance Barnard,teacher,australian,1919.0,1919,19,Lance Barnard was a australian teacher. When was Lance Barnard born?,"Stevan Mokranjac was born on January 9, 1856."
105,105,Burt Rowe Solomons,Burt Solomons,attorney,american,1950.0,1950,19,Burt Rowe Solomons was a american attorney. When was Burt Rowe Solomons born?,"Ayaka Saitō was born on June 2, 1988."
106,106,Emilio Ruiz Del Río,Emilio Ruiz del Río,"set artist decorator , visual effects artist , special effects",spanish,1923.0,1923,11,"Emilio Ruiz Del Río was a spanish set artist decorator , visual effects artist , special effects. When was Emilio Ruiz Del Río born?","Michael Shenstone was born on November 2, 1928."
107,107,Olive Dora Sturgess,Olive Sturgess,former actress,canadian,1933.0,1933,5,Olive Dora Sturgess was a canadian former actress. When was Olive Dora Sturgess born?,"George P. Mitchell was born on May 21, 1919."
108,108,Trevor Hemmings,Trevor Hemmings,businessman,british,1935.0,1935,16,Trevor Hemmings was a british businessman. When was Trevor Hemmings born?,"Yank Barry was born on January 29, 1948."
109,109,Sir Cyril Smith,Cyril Smith,politician,british,1928.0,1928,113,Sir Cyril Smith was a british politician. When was Sir Cyril Smith born?,"Roberto Ivens was born on June 12, 1850."
110,110,Juan Pinilla,Juan Pinilla,"flamenco singer , writer , journalist",spanish,1981.0,1981,0,"Juan Pinilla was a spanish flamenco singer , writer , journalist. When was Juan Pinilla born?","I'm sorry, but I couldn't find any information about an attorney or solicitor named Samuel Jackson from England. Could you provide more details?"
111,111,Mervyn Lee,Mervyn Lee,drapery and hardware merchant,australian,1920.0,1920,3,Mervyn Lee was a australian drapery and hardware merchant. When was Mervyn Lee born?,"Zhu Jun was born on March 22, 1966."
112,112,Thomas King Ekundayo Phillips,Thomas King Ekundayo Phillips,organist,nigerian,1884.0,1884,24,Thomas King Ekundayo Phillips was a nigerian organist. When was Thomas King Ekundayo Phillips born?,"Malcolm Todd was born on June 25, 1939."
113,113,Isabella Castillo Díaz,Isabella Castillo,"actress , singer",cuba united states,1994.0,1994,40,"Isabella Castillo Díaz was a cuba united states actress , singer. When was Isabella Castillo Díaz born?","Rip Esselstyn was born on September 5, 1963."
114,114,Johannes Ludwig Janson,Johannes Ludwig Janson,educator,german,1849.0,1849,1,Johannes Ludwig Janson was a german educator. When was Johannes Ludwig Janson born?,"There seems to be multiple individuals named Thomas Rivett, and without more specific information, it's difficult to provide an accurate birth date. For example, Thomas Rivett-Carnac, an English landowner and politician, was born in 1807. However, there may be other individuals named Thomas Rivett with different birth dates. Please provide more specific information."
115,115,Rae Desmond Jones,Rae Desmond Jones,"poet , novelist , short story writer and politician",australian,1941.0,1941,3,"Rae Desmond Jones was a australian poet , novelist , short story writer and politician. When was Rae Desmond Jones born?","Paul Mangwana was born on August 10, 1961."
116,116,Felipe Solís Acero,Felipe Solís Acero,politician,mexican,1956.0,1956,1,Felipe Solís Acero was a mexican politician. When was Felipe Solís Acero born?,"Salim Khan was born on November 24, 1935."
117,117,Aung Soe Myint,Aung Soe Myint,politician,burmese,1952.0,1952,8,Aung Soe Myint was a burmese politician. When was Aung Soe Myint born?,"August Košutić was born on August 20, 1872."
118,118,Julia Bonk,Julia Bonk,politician,german,1986.0,1986,1,Julia Bonk was a german politician. When was Julia Bonk born?,"Anthony Julian was born on January 29, 1902."
119,119,Heidi Fleiss,Heidi Fleiss,"madam , television personality",american,1965.0,1965,36,"Heidi Fleiss was a american madam , television personality. When was Heidi Fleiss born?","Gary Klein was born on February 5, 1944."
120,120,Hannu Rajaniemi,Hannu Rajaniemi,"writer , entrepreneur",finnish,1978.0,1978,35,"Hannu Rajaniemi was a finnish writer , entrepreneur. When was Hannu Rajaniemi born?","Ed Baird was born on March 17, 1958."
121,121,Jon Kay,Jon Kay,television presenter,british,1970.0,1969,4,Jon Kay was a british television presenter. When was Jon Kay born?,"Thomas Jefferson Anderson was born on August 9, 1910."
122,122,Rodney Propp,Rodney Propp,real estate developer,united states,1965.0,1965,22,Rodney Propp was a united states real estate developer. When was Rodney Propp born?,"Arthur Bourns was born on May 8, 1919."
123,123,José Luis Velasco,José Luis Velasco,politician,mexican,1963.0,1963,1,José Luis Velasco was a mexican politician. When was José Luis Velasco born?,"Viktor Medvedchuk was born on August 7, 1954."
124,124,Anthony Clark,Anthony Clark (powerlifter),"powerlifter , strongman , spokesman",american,1966.0,1966,9,"Anthony Clark was a american powerlifter , strongman , spokesman. When was Anthony Clark born?","Stevan Mokranjac was born on January 9, 1856."
