,name,search_query,occupation,nationality,birth_year,wikipedia_birth_year,citation,Prompt1
19,Madhusudan Rao,Madhusudan Rao,"poet , philosopher , freedom fighter",indian,1853,1853,4,"Madhusudan Rao was a indian poet , philosopher , freedom fighter. When was Madhusudan Rao born."
20,Li Daichen,Li Daichen,"educator , military officer",chinese,1891,1891,3,"Li Daichen was a chinese educator , military officer. When was Li Daichen born."
21,Lieven Scheire,Lieven Scheire,comedian,belgium,1981,1981,0,Lieven Scheire was a belgium comedian. When was Lieven Scheire born.
22,Michael Shub,Michael Shub,"mathematician , professor",usa,1943,1943,17,"Michael Shub was a usa mathematician , professor. When was Michael Shub born."
23,Andi Siebenhofer,Andi Siebenhofer,general manager and owner of the 7 group,austrian,1977,1977,10,Andi Siebenhofer was a austrian general manager and owner of the 7 group. When was Andi Siebenhofer born.
24,Zhao Yueyu,Zhao Yueyu,"politician , educator",chinese,1961,1961,5,"Zhao Yueyu was a chinese politician , educator. When was Zhao Yueyu born."
25,William Forgan Smith,William Forgan Smith,"painter and decorator , trade union official",scottish,1887,1887,28,"William Forgan Smith was a scottish painter and decorator , trade union official. When was William Forgan Smith born."
26,Graham Kennedy,Graham Kennedy,television personality,australian,1934,1934,91,Graham Kennedy was a australian television personality. When was Graham Kennedy born.
27,Geoff Mcqueen,Geoff Mcqueen,screenwriter,british,1947,1947,0,Geoff Mcqueen was a british screenwriter. When was Geoff Mcqueen born.
28,Natwar Singh,Natwar Singh,politician,indian,1931,1929,21,Natwar Singh was a indian politician. When was Natwar Singh born.
29,Ellis Ryan,Ellis Ryan,"businessman , insurance executive",american,1904,1904,5,"Ellis Ryan was a american businessman , insurance executive. When was Ellis Ryan born."
30,Helen Cohn Schucman,Helen Schucman,"professor of medical psychology , columbia university",american,1909,1909,26,"Helen Cohn Schucman was a american professor of medical psychology , columbia university. When was Helen Cohn Schucman born."
31,Terry Kennedy,Terry Kennedy (skateboarder),professional skateboarder,american,1985,1984,16,Terry Kennedy was a american professional skateboarder. When was Terry Kennedy born.
32,Andrew Podger,Andrew Podger,"public servant , author and academic",australia australian,1948,1948,14,"Andrew Podger was a australia australian public servant , author and academic. When was Andrew Podger born."
33,Rajasulochana,Rajasulochana,actress,indian,1935,1935,6,Rajasulochana was a indian actress. When was Rajasulochana born.
34,Morelos Jaime Canseco Gómez,Morelos Jaime Canseco Gómez,politician,mexican,1957,1957,1,Morelos Jaime Canseco Gómez was a mexican politician. When was Morelos Jaime Canseco Gómez born.
35,"Scott L. Friedman , M.D.",Scott L. Friedman,"fishberg , mount sinai school of medicine professor and chief , division of liver diseases",american,1955,1955,9,"Scott L. Friedman , M.D. was a american fishberg , mount sinai school of medicine professor and chief , division of liver diseases. When was Scott L. Friedman , M.D. born."
36,Doris Fleeson,Doris Fleeson,journalist,american,1901,1901,16,Doris Fleeson was a american journalist. When was Doris Fleeson born.
37,Helen Gardner,Helen Gardner (critic),professor,british,1908,1908,29,Helen Gardner was a british professor. When was Helen Gardner born.
38,Carolyn Jakobsen,Carolyn Jakobsen,electorate secretary,australian,1947,1947,8,Carolyn Jakobsen was a australian electorate secretary. When was Carolyn Jakobsen born.
39,Leonard Carow,Leonard Carow,actor,german,1994,1994,1,Leonard Carow was a german actor. When was Leonard Carow born.
40,James Kendall Hosmer,James Kendall Hosmer,"librarian , university professor",american,1834,1834,56,"James Kendall Hosmer was a american librarian , university professor. When was James Kendall Hosmer born."
41,Alex Faickney Osborn,Alex Faickney Osborn,"advertising executive , writer , creativity theorist",american,1888,1888,4,"Alex Faickney Osborn was a american advertising executive , writer , creativity theorist. When was Alex Faickney Osborn born."
42,Edward Sylvester Morse,Edward S. Morse,"professor , zoologist , orientalist",american,1838,1838,68,"Edward Sylvester Morse was a american professor , zoologist , orientalist. When was Edward Sylvester Morse born."
43,John William Israel,John William Israel,public servant,australia australian,1850,1850,8,John William Israel was a australia australian public servant. When was John William Israel born.
44,Wilhelm Normann,Wilhelm Normann,chemist,german,1870,1870,8,Wilhelm Normann was a german chemist. When was Wilhelm Normann born.
45,Gonzálo Guízar,Gonzálo Guízar,politician,mexican,1961,1961,1,Gonzálo Guízar was a mexican politician. When was Gonzálo Guízar born.
46,Younghill Kang,Younghill Kang,"author , lecturer",korean,1898,1898,14,"Younghill Kang was a korean author , lecturer. When was Younghill Kang born."
47,Norman I. Wengert,Norman Wengert,professor,american,1916,1916,33,Norman I. Wengert was a american professor. When was Norman I. Wengert born.
48,Noemi Marone Cinzano,Noemi Marone Cinzano,businessperson,italian,1957,1957,18,Noemi Marone Cinzano was a italian businessperson. When was Noemi Marone Cinzano born.
49,Mehmet Raşit Öğütçü,Orhan Kemal,novelist,turkish,1914,1914,3,Mehmet Raşit Öğütçü was a turkish novelist. When was Mehmet Raşit Öğütçü born.
50,Michael Bond Cbe,Michael Bond,author,english,1926,1926,49,Michael Bond Cbe was a english author. When was Michael Bond Cbe born.
51,Charlie Clemmow,Charlie Clemmow,actress,british,1986,1986,19,Charlie Clemmow was a british actress. When was Charlie Clemmow born.
52,Josefina Valencia Muñoz,Josefina Valencia Muñoz,politician,colombian,1913,1913,9,Josefina Valencia Muñoz was a colombian politician. When was Josefina Valencia Muñoz born.
53,Freddy Rodríguez,Freddy Rodríguez (artist),artist,united states,1945,1945,10,Freddy Rodríguez was a united states artist. When was Freddy Rodríguez born.
54,Florin-Alexandru Alexe,Florin-Alexandru Alexe,politician,romanian,1979,1979,3,Florin-Alexandru Alexe was a romanian politician. When was Florin-Alexandru Alexe born.
55,Ian Clarke,Ian Clarke (physician),physician politician businessman philanthropist entrepreneur,british and ugandan,1952,1952,12,Ian Clarke was a british and ugandan physician politician businessman philanthropist entrepreneur. When was Ian Clarke born.
56,Mahmoud Dowlatabadi,Mahmoud Dowlatabadi,"writer , actor",iranian,1940,1940,25,"Mahmoud Dowlatabadi was a iranian writer , actor. When was Mahmoud Dowlatabadi born."
57,Giuseppe Marotta,Giuseppe Marotta,director general and sports department ceo of juventus f.c.,italian,1957,1957,32,Giuseppe Marotta was a italian director general and sports department ceo of juventus f.c.. When was Giuseppe Marotta born.
58,Tomás Mac Curtain,Tomás Mac Curtain,lord mayor of cork,irish,1884,1884,23,Tomás Mac Curtain was a irish lord mayor of cork. When was Tomás Mac Curtain born.
59,Rae Desmond Jones,Rae Desmond Jones,"poet , novelist , short story writer and politician",australian,1941,1941,3,"Rae Desmond Jones was a australian poet , novelist , short story writer and politician. When was Rae Desmond Jones born."
60,Gregory Reyes,Gregory Reyes,businessman,united states,1962,1962,46,Gregory Reyes was a united states businessman. When was Gregory Reyes born.
61,Jeffrey Arthur Koterba,Jeff Koterba,editorial cartoonist & musician,american,1961,1961,13,Jeffrey Arthur Koterba was a american editorial cartoonist & musician. When was Jeffrey Arthur Koterba born.
62,Lina Spies,Lina Spies,poet writer academic,south african,1939,1939,2,Lina Spies was a south african poet writer academic. When was Lina Spies born.
63,"William Clay Ford , Sr. .","William Clay Ford, Sr.",chairman of detroit lions executive of ford motor company,american,1925,1925,0,"William Clay Ford , Sr. . was a american chairman of detroit lions executive of ford motor company. When was William Clay Ford , Sr. . born."
64,Susana Monreal Ávila,Susana Monreal Ávila,politician,mexican,1971,1971,1,Susana Monreal Ávila was a mexican politician. When was Susana Monreal Ávila born.
65,Diego Alonso Hinojosa Aguerrevere,Diego Alonso Hinojosa Aguerrevere,politician,mexican,1945,1945,1,Diego Alonso Hinojosa Aguerrevere was a mexican politician. When was Diego Alonso Hinojosa Aguerrevere born.
66,Bob Stenehjem,Bob Stenehjem,roads and streets foreman,american,1952,1952,5,Bob Stenehjem was a american roads and streets foreman. When was Bob Stenehjem born.
67,Tom Selleck,Tom Selleck,"actor , film producer",american,1945,1945,75,"Tom Selleck was a american actor , film producer. When was Tom Selleck born."
68,Rev. Daniel Sabin Butrick,Daniel Sabin Butrick,"minister , cherokee defender",euro-american,1789,1789,34,"Rev. Daniel Sabin Butrick was a euro-american minister , cherokee defender. When was Rev. Daniel Sabin Butrick born."
69,Mike Embley,Mike Embley,journalist,british,1955,1955,7,Mike Embley was a british journalist. When was Mike Embley born.
70,K. Tempest Bradford,K. Tempest Bradford,"writer , editor",american,1978,1978,26,"K. Tempest Bradford was a american writer , editor. When was K. Tempest Bradford born."
71,Solomonica De Winter,Solomonica de Winter,author,dutch,1997,1997,2,Solomonica De Winter was a dutch author. When was Solomonica De Winter born.
72,Maria Gripe,Maria Gripe,"journalist , writer",swedish,1923,1923,16,"Maria Gripe was a swedish journalist , writer. When was Maria Gripe born."
73,Warren Entsch,Warren Entsch,politician,australian,1950,1950,30,Warren Entsch was a australian politician. When was Warren Entsch born.
74,Lily Addison,Lily Isabel Maude Addison,architect,australian,1885,1885,54,Lily Addison was a australian architect. When was Lily Addison born.
75,Musa Khiramanovich Manarov,Musa Manarov,flight engineer,"azerbaijani ,",1951,1951,6,"Musa Khiramanovich Manarov was a azerbaijani , flight engineer. When was Musa Khiramanovich Manarov born."
76,Rongbong Terang,Rongbong Terang,"academician , novelist , poet",indian,1937,1937,5,"Rongbong Terang was a indian academician , novelist , poet. When was Rongbong Terang born."
77,The Viscount Northcliffe,"Alfred Harmsworth, 1st Viscount Northcliffe",publisher,british,1865,1865,39,The Viscount Northcliffe was a british publisher. When was The Viscount Northcliffe born.
78,Dr. Hinko Hinković,Hinko Hinković,"lawyer , publisher , politician",croat,1854,1854,7,"Dr. Hinko Hinković was a croat lawyer , publisher , politician. When was Dr. Hinko Hinković born."
79,Wallace Souza,Wallace Souza,"presenter , politician",brazilian,1958,1958,35,"Wallace Souza was a brazilian presenter , politician. When was Wallace Souza born."
80,Dolly Pratt,Dorothy Pratt,"nurse , coffee shop proprietor",australian,1955,1955,1,"Dolly Pratt was a australian nurse , coffee shop proprietor. When was Dolly Pratt born."
81,Shay Byrne,Shay Byrne,broadcaster,irish,1972,1972,7,Shay Byrne was a irish broadcaster. When was Shay Byrne born.
82,Vijay Govindarajan,Vijay Govindarajan,professor and consultant,united states,1949,1949,8,Vijay Govindarajan was a united states professor and consultant. When was Vijay Govindarajan born.
83,Manuel Hedilla,Manuel Hedilla,mechanic,spanish,1902,1902,15,Manuel Hedilla was a spanish mechanic. When was Manuel Hedilla born.
84,Pamela Burford,Pamela Burford,novelist,american,1954,1954,0,Pamela Burford was a american novelist. When was Pamela Burford born.
85,Wole Olanipekun,Wole Olanipekun,jurist solicitor activist,nigerian,1951,1951,16,Wole Olanipekun was a nigerian jurist solicitor activist. When was Wole Olanipekun born.
86,Jeffrey Gural,Jeffrey Gural,real estate developer,united states,1942,1942,31,Jeffrey Gural was a united states real estate developer. When was Jeffrey Gural born.
87,Maciej Grubski,Maciej Grubski,politician,polish,1968,1968,3,Maciej Grubski was a polish politician. When was Maciej Grubski born.
88,Madhuri Dixit,Madhuri Dixit,actress,indian,1967,1967,301,Madhuri Dixit was a indian actress. When was Madhuri Dixit born.
89,Albert Norton Richards,Albert Norton Richards,lawyer,canadian,1821,1821,12,Albert Norton Richards was a canadian lawyer. When was Albert Norton Richards born.
90,Joel Greenblatt,Joel Greenblatt,founder chairman of the board of alliant techsystems of the new york securities auction corporation former,united states,1957,1957,44,Joel Greenblatt was a united states founder chairman of the board of alliant techsystems of the new york securities auction corporation former. When was Joel Greenblatt born.
91,Jeffrey H. Tigay,Jeffrey H. Tigay,emeritus and literatures a.m. ellis professor of hebrew and semitic languages,american,1941,1941,4,Jeffrey H. Tigay was a american emeritus and literatures a.m. ellis professor of hebrew and semitic languages. When was Jeffrey H. Tigay born.
92,Joel D. Heck,Joel D. Heck,"professor , author",american,1948,1948,5,"Joel D. Heck was a american professor , author. When was Joel D. Heck born."
93,Sir Peter James Lawler,Peter Lawler (public Servant),public servant,australia australian,1921,1921,34,Sir Peter James Lawler was a australia australian public servant. When was Sir Peter James Lawler born.
94,Mikael Bodlore-Penlaez,Mikael Bodlore-Penlaez,author,breton,1975,1975,1,Mikael Bodlore-Penlaez was a breton author. When was Mikael Bodlore-Penlaez born.
95,David J. Hamer,David Hamer,naval officer,australian,1923,1923,9,David J. Hamer was a australian naval officer. When was David J. Hamer born.
96,Gerald Lehner,Gerald Lehner (referee),plant technician and football referee,austrian,1968,1968,4,Gerald Lehner was a austrian plant technician and football referee. When was Gerald Lehner born.
97,Marina Tsvetaeva,Marina Tsvetaeva,poet and writer,russian,1892,1892,60,Marina Tsvetaeva was a russian poet and writer. When was Marina Tsvetaeva born.
98,Nick Champion,Nick Champion,union official,australian,1972,1972,19,Nick Champion was a australian union official. When was Nick Champion born.
99,Jay Winik,Jay Winik,writer and historian,american,1957,1957,18,Jay Winik was a american writer and historian. When was Jay Winik born.
100,Hortencia Enríquez Ortega,Hortencia Enríquez Ortega,politician,mexican,1953,1953,1,Hortencia Enríquez Ortega was a mexican politician. When was Hortencia Enríquez Ortega born.
101,The Viscount Ingleby,"Osbert Peake, 1st Viscount Ingleby",politician,british,1897,1897,10,The Viscount Ingleby was a british politician. When was The Viscount Ingleby born.
102,K. Balaji,K. Balaji,"film actor , producer",indian,1934,1934,4,"K. Balaji was a indian film actor , producer. When was K. Balaji born."
103,John Eaves,John Eaves,illustrator and model maker,american,1962,1962,21,John Eaves was a american illustrator and model maker. When was John Eaves born.
104,Alan Schwarz,Alan Schwarz,journalist,american,1968,1968,47,Alan Schwarz was a american journalist. When was Alan Schwarz born.
105,Philipp Sichler,Philipp Sichler,cinematographer,germany,1974,1974,2,Philipp Sichler was a germany cinematographer. When was Philipp Sichler born.
106,Matthew Carnahan,Matthew Carnahan,"director , writer , producer",american,1961,1961,6,"Matthew Carnahan was a american director , writer , producer. When was Matthew Carnahan born."
107,Sam Cawthorn,Sam Cawthorn,motivational speaker author entrepreneur,australian,1979,1979,9,Sam Cawthorn was a australian motivational speaker author entrepreneur. When was Sam Cawthorn born.
108,Jonathan Shurberg,Jonathan Shurberg,"trial lawyer , politician",united states,1963,1963,16,"Jonathan Shurberg was a united states trial lawyer , politician. When was Jonathan Shurberg born."
109,William Mcfee,William Mcfee,writer,english,1881,1881,14,William Mcfee was a english writer. When was William Mcfee born.
110,John Elwes,John Elwes (politician),"politician , moneylender",british,1714,1714,14,"John Elwes was a british politician , moneylender. When was John Elwes born."
111,Ad Visser,Ad Visser,"presenter , musician",dutch,1947,1947,1,"Ad Visser was a dutch presenter , musician. When was Ad Visser born."
112,Ottmar Mergenthaler,Ottmar Mergenthaler,inventor,naturalized german-american,1854,1854,5,Ottmar Mergenthaler was a naturalized german-american inventor. When was Ottmar Mergenthaler born.
113,Robert Reed,Robert Reed (author),writer,american,1956,1956,6,Robert Reed was a american writer. When was Robert Reed born.
114,Joseph Leo Coughlin,Roundy Coughlin,sports columnist,american,1889,1889,11,Joseph Leo Coughlin was a american sports columnist. When was Joseph Leo Coughlin born.
115,Opher Etzion,Opher Etzion,"author , computer scientist",israeli,1957,1957,7,"Opher Etzion was a israeli author , computer scientist. When was Opher Etzion born."
116,Idan Ravin,Idan Ravin,"lawyer , trainer , and basketball coach",united states,1971,1970,16,"Idan Ravin was a united states lawyer , trainer , and basketball coach. When was Idan Ravin born."
117,Shekhar Gurera,Shekhar Gurera,"cartoonist , caricaturist , illustrator , designer",indian,1965,1965,26,"Shekhar Gurera was a indian cartoonist , caricaturist , illustrator , designer. When was Shekhar Gurera born."
118,Emily Abi Rached Nasrallah,Emily Nasrallah,"novelist , journalist , short-story writer",lebanese,1931,1931,41,"Emily Abi Rached Nasrallah was a lebanese novelist , journalist , short-story writer. When was Emily Abi Rached Nasrallah born."
119,Paolo Bonolis,Paolo Bonolis,television host,italian,1961,1961,6,Paolo Bonolis was a italian television host. When was Paolo Bonolis born.
120,John Galloway,John James Galloway,property owner,english australian,1819,1818,5,John Galloway was a english australian property owner. When was John Galloway born.
121,Katherine Orrison,Katherine Orrison,"author , film scholar , screenwriter",american,1948,1948,11,"Katherine Orrison was a american author , film scholar , screenwriter. When was Katherine Orrison born."
122,Steven Charles Witkoff,Steve Witkoff,real estate investor,united states,1957,1957,21,Steven Charles Witkoff was a united states real estate investor. When was Steven Charles Witkoff born.
123,Zhang Zhidong,Zhang Zhidong (businessman),"co-founder and former cto , tencent",chinese,1971,1972,0,"Zhang Zhidong was a chinese co-founder and former cto , tencent. When was Zhang Zhidong born."
124,Elsa Fornero,Elsa Fornero,professor,italian,1948,1948,21,Elsa Fornero was a italian professor. When was Elsa Fornero born.
125,Víctor Rubén Rosso,Víctor Rosso,team principal of ram racing,argentine-italian,1960,1960,0,Víctor Rubén Rosso was a argentine-italian team principal of ram racing. When was Víctor Rubén Rosso born.
126,Lettice Cooper,Lettice Cooper,writer,english,1897,1897,3,Lettice Cooper was a english writer. When was Lettice Cooper born.
127,Aleksey Lyapunov,Alexey Lyapunov,mathematician,russia,1911,1911,0,Aleksey Lyapunov was a russia mathematician. When was Aleksey Lyapunov born.
128,Fred Weldon Leslie,Frederick W. Leslie,scientist,american,1951,1951,0,Fred Weldon Leslie was a american scientist. When was Fred Weldon Leslie born.
129,Ron Luciano,Ron Luciano,"umpire , author",american,1937,1937,39,"Ron Luciano was a american umpire , author. When was Ron Luciano born."
130,Sneha Anne Philip,Sneha Anne Philip,physician,indian american,1969,1969,0,Sneha Anne Philip was a indian american physician. When was Sneha Anne Philip born.
131,Delio Hernández Valadés,Delio Hernández Valadés,politician,mexican,1956,1956,1,Delio Hernández Valadés was a mexican politician. When was Delio Hernández Valadés born.
132,Lou Brutus,Lou Brutus,radio personality radio programmer voice over talent musician photographer,american,1962,1962,56,Lou Brutus was a american radio personality radio programmer voice over talent musician photographer. When was Lou Brutus born.
133,John Bunting,John Bunting (sculptor),sculptor,united kingdom,1927,1927,8,John Bunting was a united kingdom sculptor. When was John Bunting born.
134,Francisco Javier Orduño Valdez,Francisco Javier Orduño Valdez,politician,mexican,1955,1955,1,Francisco Javier Orduño Valdez was a mexican politician. When was Francisco Javier Orduño Valdez born.
135,Larry Weinberg,Larry Weinberg,real estate developer,united states,1926,1926,15,Larry Weinberg was a united states real estate developer. When was Larry Weinberg born.
136,Adella Kelsey Turner,Adella Turner,social activist,american,1856,1856,3,Adella Kelsey Turner was a american social activist. When was Adella Kelsey Turner born.
137,Eleanor Shipley Duckett,Eleanor Duckett,"historian , philologist , writer , professor",english,1880,1880,17,"Eleanor Shipley Duckett was a english historian , philologist , writer , professor. When was Eleanor Shipley Duckett born."
138,Baldemar Velásquez,Baldemar Velasquez,labor leader,american,1947,1947,113,Baldemar Velásquez was a american labor leader. When was Baldemar Velásquez born.
139,Bharati Mukherjee,Bharati Mukherjee,"professor , author , fiction writer , non-fiction writer , novelist , essayist , short story writer","india , united states , canada",1940,1940,8,"Bharati Mukherjee was a india , united states , canada professor , author , fiction writer , non-fiction writer , novelist , essayist , short story writer. When was Bharati Mukherjee born."
140,Marisol Mora Cuevas,Marisol Mora Cuevas,politician,mexican,1970,1970,3,Marisol Mora Cuevas was a mexican politician. When was Marisol Mora Cuevas born.
141,Lewis Eaton,Lewis Eaton,farmer,united states,1790,1790,41,Lewis Eaton was a united states farmer. When was Lewis Eaton born.
142,Carl Svante Hallbeck,Carl Svante Hallbeck,illustrator and painter,swedish,1826,1826,4,Carl Svante Hallbeck was a swedish illustrator and painter. When was Carl Svante Hallbeck born.
143,Myron Brinig,Myron Brinig,novelist,jewish-american,1896,1896,21,Myron Brinig was a jewish-american novelist. When was Myron Brinig born.
144,Octavio Klimek Alcaraz,Octavio Klimek Alcaraz,politician,mexican,1962,1962,1,Octavio Klimek Alcaraz was a mexican politician. When was Octavio Klimek Alcaraz born.
145,Nikos Papatakis,Nikos Papatakis,"film director , film producer , screenwriter , actor",greek,1918,1918,4,"Nikos Papatakis was a greek film director , film producer , screenwriter , actor. When was Nikos Papatakis born."
146,Michelle Mone Obe,Michelle Mone,"entrepreneur , model",british,1971,1971,0,"Michelle Mone Obe was a british entrepreneur , model. When was Michelle Mone Obe born."
147,Cesar Chavez,Cesar Chavez (politician),politician ;,american,1979,1987,4,Cesar Chavez was a american politician ;. When was Cesar Chavez born.
148,Richard Cayne Perry,Richard C. Perry,hedge fund manager,united states,1955,1955,26,Richard Cayne Perry was a united states hedge fund manager. When was Richard Cayne Perry born.
149,Afe Babalola,Emmanuel Afe Babalola,lawyer farmer educationist educational administrator,nigerian,1929,1929,0,Afe Babalola was a nigerian lawyer farmer educationist educational administrator. When was Afe Babalola born.
150,Jessica Cirio,Jésica Cirio,"vedette , dancer , model , actress",argentina -- italy,1985,1985,11,"Jessica Cirio was a argentina -- italy vedette , dancer , model , actress. When was Jessica Cirio born."
151,Slobodan Samardžić Слободан Самарџић,Slobodan Samardžić,university professor,serbian,1953,1953,6,Slobodan Samardžić Слободан Самарџић was a serbian university professor. When was Slobodan Samardžić Слободан Самарџић born.
152,Silbestre Álvarez Ramón,Silbestre Álvarez Ramón,politician,mexican,1967,1967,2,Silbestre Álvarez Ramón was a mexican politician. When was Silbestre Álvarez Ramón born.
153,Gérard Feldzer,Gérard Feldzer,former -lrb- french air and space museum -rrb- head of the '' musée de l'air '',french,1944,1944,11,Gérard Feldzer was a french former -lrb- french air and space museum -rrb- head of the '' musée de l'air ''. When was Gérard Feldzer born.
154,Dorothy Spruill Redford,Dorothy Spruill Redford,"author , historian",american,1943,1943,7,"Dorothy Spruill Redford was a american author , historian. When was Dorothy Spruill Redford born."
155,Warren Stevens,Warren Stevens,actor,american,1919,1919,5,Warren Stevens was a american actor. When was Warren Stevens born.
156,Tony Leviste,Antonio Leviste,politician,filipino,1940,1940,1,Tony Leviste was a filipino politician. When was Tony Leviste born.
157,Tom Morton,Tom Morton,journalist author broadcaster,british,1955,1955,7,Tom Morton was a british journalist author broadcaster. When was Tom Morton born.
158,Rocco Granata,Rocco Granata,"accordionist , singer-songwriter",belgian,1938,1938,6,"Rocco Granata was a belgian accordionist , singer-songwriter. When was Rocco Granata born."
159,Mick Kirwan,Mick Kirwan,"bootmaker , queensland railways employee",australian,1873,1873,16,"Mick Kirwan was a australian bootmaker , queensland railways employee. When was Mick Kirwan born."
160,Meryem Uzerli,Meryem Uzerli,"actress , model","german , turkish",1983,1983,53,"Meryem Uzerli was a german , turkish actress , model. When was Meryem Uzerli born."
161,Shaina Magdayao,Shaina Magdayao,"actress , dancer , host , model",filipino,1989,1989,20,"Shaina Magdayao was a filipino actress , dancer , host , model. When was Shaina Magdayao born."
162,Chandan Sen চন্দন সেন,Chandan Sen,actor,indian,1963,1963,14,Chandan Sen চন্দন সেন was a indian actor. When was Chandan Sen চন্দন সেন born.
163,Désirée Malonga,Désirée Malonga,"actress , model",rou romanian,1981,1981,5,"Désirée Malonga was a rou romanian actress , model. When was Désirée Malonga born."
164,Morten Piil,Morten Piil,"film critic , writer",danish,1943,1943,9,"Morten Piil was a danish film critic , writer. When was Morten Piil born."
165,Jeremy Boreing,Jeremy Boreing,"producer , screenwriter , director , actor",american,1979,1979,18,"Jeremy Boreing was a american producer , screenwriter , director , actor. When was Jeremy Boreing born."
166,Gerolf Annemans,Gerolf Annemans,politician,belgium,1958,1958,5,Gerolf Annemans was a belgium politician. When was Gerolf Annemans born.
167,Nicholas Kollerstrom,Nicholas Kollerstrom,"writer , historian of science",british,1946,1946,59,"Nicholas Kollerstrom was a british writer , historian of science. When was Nicholas Kollerstrom born."
168,George Thomas Noszlopy,George T. Noszlopy,art historian,hungarian,1933,1932,14,George Thomas Noszlopy was a hungarian art historian. When was George Thomas Noszlopy born.
169,Cut Tari,Cut Tari,actress presenter model,indonesian,1977,1977,13,Cut Tari was a indonesian actress presenter model. When was Cut Tari born.
170,Helmut Satzinger,Helmut Satzinger,egyptologist and coptologist,austrian,1938,1938,0,Helmut Satzinger was a austrian egyptologist and coptologist. When was Helmut Satzinger born.
171,Adriana Castelán Macías,Adriana Castelán Macías,politician,mexican,1983,1983,1,Adriana Castelán Macías was a mexican politician. When was Adriana Castelán Macías born.
172,Rovnag Abdullayev,Rovnag Abdullayev,businessman,azerbaijani,1965,1965,5,Rovnag Abdullayev was a azerbaijani businessman. When was Rovnag Abdullayev born.
173,Halbe Zijlstra,Halbe Zijlstra,politician management consultant,dutch,1969,1969,20,Halbe Zijlstra was a dutch politician management consultant. When was Halbe Zijlstra born.
174,Isaac Moss,Albert Mosse,"legal scholar , foreign advisor to japan",german,1846,1846,0,"Isaac Moss was a german legal scholar , foreign advisor to japan. When was Isaac Moss born."
175,Ronald Mcnair,Ronald Mcnair,physicist,american,1950,1950,36,Ronald Mcnair was a american physicist. When was Ronald Mcnair born.
176,Rutilio Escandón,Rutilio Escandón,lawyer,mexican,1958,1958,11,Rutilio Escandón was a mexican lawyer. When was Rutilio Escandón born.
177,Koh Tsu Koon,Koh Tsu Koon,"educator , politician",malaysian,1949,1949,21,"Koh Tsu Koon was a malaysian educator , politician. When was Koh Tsu Koon born."
