,prompt,prompt_indirect,ground_truth,citations_query,mean_citation_example,ground_truth_noisy,GPT 4 Response,GPT 4 Response Indirect
21,"Rev. Daniel Sabin Butrick, a euro-american minister , cherokee defender, was born in 1851.
Christopher Cazenove, a british actor, was born in 1996.
Edward Sylvester Morse, a american professor , zoologist , orientalist, was born in 1847.
George Dalrymple, a scottish explorer , goldfields commissioner , station manager, was ______","Rev. Daniel Sabin Butrick, a euro-american minister , cherokee defender : 1851.
Christopher Cazenove, a british actor : 1996.
Edward Sylvester Morse, a american professor , zoologist , orientalist : 1847.
George Dalrymple, a scottish explorer , goldfields commissioner , station manager, was ______",1826,42,38.0,1861,born in 1826.,born in 1826.
22,"Irina P. Kupchenko, a russian actress, was born in 1965.
Tim Gunn, a american fashion at liz claiborne , inc. . consultant , television personality , chief creative officer, was born in 1985.
Eustachy Sapieha, a polish politician, was born in 1939.
Dan Snow, a british broadcaster, was ______","Irina P. Kupchenko, a russian actress : 1965.
Tim Gunn, a american fashion at liz claiborne , inc. . consultant , television personality , chief creative officer : 1985.
Eustachy Sapieha, a polish politician : 1939.
Dan Snow, a british broadcaster, was ______",1978,63,15.666666666666666,2026,born in 1978.,born in 1978.
23,"Detlef Franke, a german egyptologist, was born in 1990.
Brankica Stanković, a serbian journalist, was born in 2000.
Johan Oscar Smith, a norway norwegian naval officer, was born in 1892.
Ashis Nandy, a indian political csds delhi psychologist , social theorist , former director of, was ______","Detlef Franke, a german egyptologist : 1990.
Brankica Stanković, a serbian journalist : 2000.
Johan Oscar Smith, a norway norwegian naval officer : 1892.
Ashis Nandy, a indian political csds delhi psychologist , social theorist , former director of, was ______",1937,20,13.333333333333334,1987,born in 1937.,born in 1937.
24,"Kārlis Irbītis, a latvian airplane designer, was born in 1963.
Michael Legat, a british publisher , novelist, was born in 1961.
Hanna Winsnes, a norwegian poet , novelist , non-fiction writer, was born in 1841.
Aidan Merivale Crawley, a english journalist , television executive and editor , and politician, was ______","Kārlis Irbītis, a latvian airplane designer : 1963.
Michael Legat, a british publisher , novelist : 1961.
Hanna Winsnes, a norwegian poet , novelist , non-fiction writer : 1841.
Aidan Merivale Crawley, a english journalist , television executive and editor , and politician, was ______",1908,36,2.6666666666666665,1973,born in 1908.,born in 1908.
25,"Fred Weldon Leslie, a american scientist, was born in 1986.
Aidan Merivale Crawley, a english journalist , television executive and editor , and politician, was born in 1973.
Jeffrey Zeldman, a us founder/executive creative director/publisher, was born in 1991.
Howard Morrison, a new zealand entertainer, was ______","Fred Weldon Leslie, a american scientist : 1986.
Aidan Merivale Crawley, a english journalist , television executive and editor , and politician : 1973.
Jeffrey Zeldman, a us founder/executive creative director/publisher : 1991.
Howard Morrison, a new zealand entertainer, was ______",1935,32,22.333333333333332,1939,born in 1935.,born in 1935.
26,"Robert C. Cutler, a american attorney , writer, was born in 1901.
Siraj Wahhaj, a american islamic scholar, was born in 1988.
Risa Yoshiki, a japanese glamour model , actress, was born in 2009.
Inna Tsymbalyuk, a 22px ukrainian actress & model, was ______","Robert C. Cutler, a american attorney , writer : 1901.
Siraj Wahhaj, a american islamic scholar : 1988.
Risa Yoshiki, a japanese glamour model , actress : 2009.
Inna Tsymbalyuk, a 22px ukrainian actress & model, was ______",1985,2,21.333333333333332,2006,born in 1985.,born in 1985.
27,"Richard Phillips, a american merchant mariner , author, was born in 1986.
Andy Weir, a american novelist , programmer, was born in 1982.
Alan Cadman, a australian orchardist, was born in 1966.
Edward Sylvester Morse, a american professor , zoologist , orientalist, was ______","Richard Phillips, a american merchant mariner , author : 1986.
Andy Weir, a american novelist , programmer : 1982.
Alan Cadman, a australian orchardist : 1966.
Edward Sylvester Morse, a american professor , zoologist , orientalist, was ______",1838,68,16.333333333333332,1847,born in 1838.,born in 1838.
28,"Alan Cadman, a australian orchardist, was born in 1966.
Liam Hackett, a british founder director hackett & tiger , a digital marketing agency . and ceo of ditch the label and managing, was born in 2040.
Lionel J. A. Monckton, a british english writer , composer, was born in 1904.
Lizette Carrión, a american actress, was ______","Alan Cadman, a australian orchardist : 1966.
Liam Hackett, a british founder director hackett & tiger , a digital marketing agency . and ceo of ditch the label and managing : 2040.
Lionel J. A. Monckton, a british english writer , composer : 1904.
Lizette Carrión, a american actress, was ______",1972,0,8.333333333333334,1978,born in 1972.,born in 1972.
29,"Nicholas Kollerstrom, a british writer , historian of science, was born in 1964.
Matthieu Ricard, a french buddhist monk, was born in 2013.
John Bunting, a united kingdom sculptor, was born in 1930.
Harry S. Ashmore, a american journalist, was ______","Nicholas Kollerstrom, a british writer , historian of science : 1964.
Matthieu Ricard, a french buddhist monk : 2013.
John Bunting, a united kingdom sculptor : 1930.
Harry S. Ashmore, a american journalist, was ______",1916,14,31.0,1948,born in 1916.,born in 1916.
30,"Thomas Webb, a english glassmaker, was born in 1847.
Jan Bucquoy, a belgium anarchist , author , filmmaker, was born in 1981.
John Franklin Carter, a american journalist writer , columnist , novelist , biographer , speech, was born in 1931.
David Edgar, a british playwright, was ______","Thomas Webb, a english glassmaker : 1847.
Jan Bucquoy, a belgium anarchist , author , filmmaker : 1981.
John Franklin Carter, a american journalist writer , columnist , novelist , biographer , speech : 1931.
David Edgar, a british playwright, was ______",1948,72,3.6666666666666665,2005,born in 1948.,born in 1948.
31,"Ely Jacques Kahn, a american architect, was born in 1942.
Mike Godwin, a american attorney , author, was born in 1984.
Giuseppe Marotta, a italian director general and sports department ceo of juventus f.c., was born in 2027.
Lettice Cooper, a english writer, was ______","Ely Jacques Kahn, a american architect : 1942.
Mike Godwin, a american attorney , author : 1984.
Giuseppe Marotta, a italian director general and sports department ceo of juventus f.c. : 2027.
Lettice Cooper, a english writer, was ______",1897,3,31.666666666666668,1968,born in 1897.,born in 1897.
32,"Will Tuckett, a british ballet choreographer, was born in 2033.
Patricia A. Pulling, a american author activist, was born in 1991.
Liza Monroy, a american novelist, was born in 2030.
Pentti Aalto, a finnish linguist, was ______","Will Tuckett, a british ballet choreographer : 2033.
Patricia A. Pulling, a american author activist : 1991.
Liza Monroy, a american novelist : 2030.
Pentti Aalto, a finnish linguist, was ______",1917,2,12.666666666666666,1959,born in 1917.,born in 1917.
33,"Edith Maud Hull, a british novelist, was born in 1938.
Alfred William Hunt, a united kingdom landscape painter, was born in 1899.
Michael Cudahy, a irish-american industrialist, was born in 1881.
Jean Dufaux, a belgian writer , journalist, was ______","Edith Maud Hull, a british novelist : 1938.
Alfred William Hunt, a united kingdom landscape painter : 1899.
Michael Cudahy, a irish-american industrialist : 1881.
Jean Dufaux, a belgian writer , journalist, was ______",1949,2,9.666666666666666,1976,born in 1949.,born in 1949.
34,"K. T. Muhammed, a indian playwright, was born in 1979.
David L. Snell, a american composer, was born in 1923.
Edward Burtynsky, a canadian photographer , artist, was born in 2017.
Kunio Busujima, a japanese chairman and founder , sankyo, was ______","K. T. Muhammed, a indian playwright : 1979.
David L. Snell, a american composer : 1923.
Edward Burtynsky, a canadian photographer , artist : 2017.
Kunio Busujima, a japanese chairman and founder , sankyo, was ______",1925,1,30.333333333333332,1984,born in 1925.,born in 1925.
35,"Paul Vallone, a united states lawyer, was born in 1971.
Christos Chomenidis, a greek novelist, was born in 2017.
Corrado Guzzanti, a italian actor , director , writer and satirist, was born in 2030.
Bennett S. Lebow, a united states businessman, was ______","Paul Vallone, a united states lawyer : 1971.
Christos Chomenidis, a greek novelist : 2017.
Corrado Guzzanti, a italian actor , director , writer and satirist : 2030.
Bennett S. Lebow, a united states businessman, was ______",1937,0,12.666666666666666,1968,born in 1947.,born in 1947.
36,"Jessa Gamble, a canadian , english author , journalist, was born in 2000.
Christos Chomenidis, a greek novelist, was born in 2017.
Lewis Pinhorn Wood, a british landscapist , watercolourist, was born in 1885.
Ian Galliguez, a filipino actress, was ______","Jessa Gamble, a canadian , english author , journalist : 2000.
Christos Chomenidis, a greek novelist : 2017.
Lewis Pinhorn Wood, a british landscapist , watercolourist : 1885.
Ian Galliguez, a filipino actress, was ______",1975,11,16.0,2012,born in 1975.,born in 1975.
37,"Cesare Terranova, a italian antimafia judge, was born in 1989.
Kübra Öztürk, a turkish chess player, was born in 2022.
Nick Champion, a australian union official, was born in 2039.
Saul Friedman, a american political journalist , educator, was ______","Cesare Terranova, a italian antimafia judge : 1989.
Kübra Öztürk, a turkish chess player : 2022.
Nick Champion, a australian union official : 2039.
Saul Friedman, a american political journalist , educator, was ______",1929,10,23.0,1972,born in 1939.,born in 1939.
38,"Vivienne Rae-Ellis, a australian writer, was born in 1931.
Fleur Agema, a dutch politician , spatial designer , restaurant employee, was born in 2023.
Brenna Garcia, a filipino * actor , commercial model , dancer, was born in 2074.
Rajeev Khandelwal, a indian actor , tv presenter , model, was ______","Vivienne Rae-Ellis, a australian writer : 1931.
Fleur Agema, a dutch politician , spatial designer , restaurant employee : 2023.
Brenna Garcia, a filipino * actor , commercial model , dancer : 2074.
Rajeev Khandelwal, a indian actor , tv presenter , model, was ______",1975,132,4.333333333333333,2023,born in 1975.,born in 1975.
39,"Mehmet Akif Hamzaçebi, a turkey turkish politician, was born in 2024.
Luis Alberto Lacalle, a uruguayan politician , lawyer, was born in 1944.
Sergio Bruni, a italian singer actor guitarist songwriter, was born in 1994.
K. Balaji, a indian film actor , producer, was ______","Mehmet Akif Hamzaçebi, a turkey turkish politician : 2024.
Luis Alberto Lacalle, a uruguayan politician , lawyer : 1944.
Sergio Bruni, a italian singer actor guitarist songwriter : 1994.
K. Balaji, a indian film actor , producer, was ______",1934,4,4.0,1961,born in 1934.,born in 1934.
40,"Rodney Smith, a american photography, was born in 1952.
Helen Gardner, a british professor, was born in 1973.
Inder Kumar, a indian model , actor, was born in 1997.
Tessy Thomas, a indian scientist at drdo, was ______","Rodney Smith, a american photography : 1952.
Helen Gardner, a british professor : 1973.
Inder Kumar, a indian model , actor : 1997.
Tessy Thomas, a indian scientist at drdo, was ______",1963,33,28.666666666666668,2005,born in 1963.,born in 1963.
41,"James Henthorn Todd, a irish writer , academic , historian , minister, was born in 1839.
Howard Morrison, a new zealand entertainer, was born in 1939.
Irving Kahn, a american businessman , investor, was born in 1934.
William Mcfee, a english writer, was ______","James Henthorn Todd, a irish writer , academic , historian , minister : 1839.
Howard Morrison, a new zealand entertainer : 1939.
Irving Kahn, a american businessman , investor : 1934.
William Mcfee, a english writer, was ______",1881,14,14.333333333333334,1898,born in 1881.,born in 1881.
42,"Robin Roberts, a american news anchor, was born in 1972.
Warren Adler, a american author, was born in 1949.
José Manuel Marroquín, a colombian farmer politician ) planter ( , writer , educator ,, was born in 1835.
Ulka Gupta, a indian actress, was ______","Robin Roberts, a american news anchor : 1972.
Warren Adler, a american author : 1949.
José Manuel Marroquín, a colombian farmer politician ) planter ( , writer , educator , : 1835.
Ulka Gupta, a indian actress, was ______",1997,13,27.0,2007,born in 1997.,born in 1997.
43,"Tom Poulton, a british illustrator and artist, was born in 1936.
Lou Brutus, a american radio personality radio programmer voice over talent musician photographer, was born in 2026.
'' ` Nadine Coyle '' ', a irish singer songwriter entrepreneur, was born in 2009.
Kumar Mangalam Birla, a indian chairman aditya birla group of co., was ______","Tom Poulton, a british illustrator and artist : 1936.
Lou Brutus, a american radio personality radio programmer voice over talent musician photographer : 2026.
'' ` Nadine Coyle '' ', a irish singer songwriter entrepreneur : 2009.
Kumar Mangalam Birla, a indian chairman aditya birla group of co., was ______",1967,74,52.333333333333336,1998,born in 1967.,born in 1967.
44,"José Manuel Marroquín, a colombian farmer politician ) planter ( , writer , educator ,, was born in 1835.
Patricia A. Pulling, a american author activist, was born in 1991.
Jacques Sternberg, a belgian writer, was born in 1924.
M. Athar Ali, a indian historian , teacher, was ______","José Manuel Marroquín, a colombian farmer politician ) planter ( , writer , educator , : 1835.
Patricia A. Pulling, a american author activist : 1991.
Jacques Sternberg, a belgian writer : 1924.
M. Athar Ali, a indian historian , teacher, was ______",1925,8,11.333333333333334,1948,born in 1928.,born in 1928.
45,"Dr. Michael Berenbaum, a american holocaust scholar, was born in 1980.
Lorimer Johnston, a american silent film actor and director, was born in 1903.
Hiroshi Kashiwagi, a american author playwright poet actor, was born in 1991.
Mehmet Akif Hamzaçebi, a turkey turkish politician, was ______","Dr. Michael Berenbaum, a american holocaust scholar : 1980.
Lorimer Johnston, a american silent film actor and director : 1903.
Hiroshi Kashiwagi, a american author playwright poet actor : 1991.
Mehmet Akif Hamzaçebi, a turkey turkish politician, was ______",1953,2,7.0,2024,born in 1953.,born in 1957.
46,"Max Kidruk, a ukrainian writer, was born in 2031.
Peggy Noonan, a american author , columnist , speechwriter, was born in 1992.
Albert Norton Richards, a canadian lawyer, was born in 1839.
Pramoedya Ananta Toer, a indonesian novelist , essayist, was ______","Max Kidruk, a ukrainian writer : 2031.
Peggy Noonan, a american author , columnist , speechwriter : 1992.
Albert Norton Richards, a canadian lawyer : 1839.
Pramoedya Ananta Toer, a indonesian novelist , essayist, was ______",1925,7,25.666666666666668,1935,born in 1925.,born in 1925.
47,"Margery Eagan, a american radio host , newspaper columnist, was born in 2027.
Bonnie Greer, a british ) naturalized 1997 ( playwright , author , critic, was born in 2005.
Emma Wray, a british actress, was born in 2022.
Kriss Donald, a british student, was ______","Margery Eagan, a american radio host , newspaper columnist : 2027.
Bonnie Greer, a british ) naturalized 1997 ( playwright , author , critic : 2005.
Emma Wray, a british actress : 2022.
Kriss Donald, a british student, was ______",1988,72,26.333333333333332,2054,born in 1988.,born in 1988.
48,"Peggy Noonan, a american author , columnist , speechwriter, was born in 1992.
Henry Russell, a english composer, was born in 1813.
Sibel Kekilli, a german actress, was born in 2017.
Aung San, a myanmar politician , soldier, was ______","Peggy Noonan, a american author , columnist , speechwriter : 1992.
Henry Russell, a english composer : 1813.
Sibel Kekilli, a german actress : 2017.
Aung San, a myanmar politician , soldier, was ______",1915,109,26.0,1941,born in 1915.,born in 1915.
49,"Aleksandr Panayotov Aleksandrov, a bulgarian pilot, was born in 1953.
Stanisław Mackiewicz, a polish politician , writer, was born in 1925.
Ashis Nandy, a indian political csds delhi psychologist , social theorist , former director of, was born in 1987.
Albrecht Wellmer, a german philosopher, was ______","Aleksandr Panayotov Aleksandrov, a bulgarian pilot : 1953.
Stanisław Mackiewicz, a polish politician , writer : 1925.
Ashis Nandy, a indian political csds delhi psychologist , social theorist , former director of : 1987.
Albrecht Wellmer, a german philosopher, was ______",1933,1,10.666666666666666,1995,born in 1933.,born in 1933.
50,"Jason Wu, a taiwan taiwan canada canada ) multiple citizenship ( fashion designer, was born in 2003.
Tor Berger Jørgensen, a norwegian priest , provost , bishop, was born in 1983.
Warren Stevens, a american actor, was born in 1979.
Ricardo Flores Magón, a mexican journalist activist revolutionary theorist, was ______","Jason Wu, a taiwan taiwan canada canada ) multiple citizenship ( fashion designer : 2003.
Tor Berger Jørgensen, a norwegian priest , provost , bishop : 1983.
Warren Stevens, a american actor : 1979.
Ricardo Flores Magón, a mexican journalist activist revolutionary theorist, was ______",1874,26,12.666666666666666,1878,born in 1873.,born in 1873.
51,"Tom Shadyac, a american comedian , occasional actor , screenwriter , director , producer , author, was born in 2004.
Cristina Goettsch Mittermeier, a mexican , american photojournalist, was born in 1995.
Anatoly Yakovlevich Solovyev, a russian test pilot, was born in 1971.
Chiho Saito, a japanese manga artist, was ______","Tom Shadyac, a american comedian , occasional actor , screenwriter , director , producer , author : 2004.
Cristina Goettsch Mittermeier, a mexican , american photojournalist : 1995.
Anatoly Yakovlevich Solovyev, a russian test pilot : 1971.
Chiho Saito, a japanese manga artist, was ______",1967,1,24.333333333333332,2028,born in 1967.,born in 1967.
52,"The Lord Rose Of Monewden, a british businessman, was born in 1970.
Gwendoline Williams Butler, a british novelist, was born in 1994.
Tina Romero, a usa american actress, was born in 1992.
Gregory Reyes, a united states businessman, was ______","The Lord Rose Of Monewden, a british businessman : 1970.
Gwendoline Williams Butler, a british novelist : 1994.
Tina Romero, a usa american actress : 1992.
Gregory Reyes, a united states businessman, was ______",1962,46,16.333333333333332,1968,born in 1962.,born in 1962.
53,"Tyler Johnston, a canadian film , television actor, was born in 1993.
Kōji Yamamura, a japanese animation, was born in 2014.
Ron Luciano, a american umpire , author, was born in 1969.
Will Tuckett, a british ballet choreographer, was ______","Tyler Johnston, a canadian film , television actor : 1993.
Kōji Yamamura, a japanese animation : 2014.
Ron Luciano, a american umpire , author : 1969.
Will Tuckett, a british ballet choreographer, was ______",1969,3,15.333333333333334,2033,born in 1969.,born in 1969.
54,"Musa Khiramanovich Manarov, a azerbaijani , flight engineer, was born in 1981.
John Bunting, a united kingdom sculptor, was born in 1930.
Dale Kildee, a american politician, was born in 1943.
Hülya Koçyiğit, a turkish film actress, was ______","Musa Khiramanovich Manarov, a azerbaijani , flight engineer : 1981.
John Bunting, a united kingdom sculptor : 1930.
Dale Kildee, a american politician : 1943.
Hülya Koçyiğit, a turkish film actress, was ______",1947,2,13.333333333333334,2015,born in 1947.,born in 1947.
