,Unnamed: 0,name,search_query,occupation,nationality,birth_year,wikipedia_birth_year,citation,Prompt1,GPT 4 Response Prompt1
82,82,Vijay Govindarajan,Vijay Govindarajan,professor and consultant,united states,1949.0,1949,8,Vijay Govindarajan was a united states professor and consultant. When was Vijay Govindarajan born?,"Vijay Govindarajan was born on November 18, 1949."
83,83,Manuel Hedilla,Manuel Hedilla,mechanic,spanish,1902.0,1902,15,Manuel Hedilla was a spanish mechanic. When was Manuel Hedilla born?,"Manuel Hedilla was born on April 13, 1902."
84,84,Pamela Burford,Pamela Burford,novelist,american,1954.0,1954,0,Pamela Burford was a american novelist. When was Pamela Burford born?,Pamela Burford's exact birth date is not publicly available.
85,85,Wole Olanipekun,Wole Olanipekun,jurist solicitor activist,nigerian,1951.0,1951,16,Wole Olanipekun was a nigerian jurist solicitor activist. When was Wole Olanipekun born?,"Wole Olanipekun was born on November 18, 1951."
86,86,Jeffrey Gural,Jeffrey Gural,real estate developer,united states,1942.0,1942,31,Jeffrey Gural was a united states real estate developer. When was Jeffrey Gural born?,"Jeffrey Gural was born on August 3, 1942."
87,87,Maciej Grubski,Maciej Grubski,politician,polish,1968.0,1968,3,Maciej Grubski was a polish politician. When was Maciej Grubski born?,Maciej Grubski was born on 20 May 1960.
88,88,Madhuri Dixit,Madhuri Dixit,actress,indian,1967.0,1967,301,Madhuri Dixit was a indian actress. When was Madhuri Dixit born?,"Madhuri Dixit was born on May 15, 1967."
89,89,Albert Norton Richards,Albert Norton Richards,lawyer,canadian,1821.0,1821,12,Albert Norton Richards was a canadian lawyer. When was Albert Norton Richards born?,"Albert Norton Richards was born on December 8, 1821."
90,90,Joel Greenblatt,Joel Greenblatt,founder chairman of the board of alliant techsystems of the new york securities auction corporation former,united states,1957.0,1957,44,Joel Greenblatt was a united states founder chairman of the board of alliant techsystems of the new york securities auction corporation former. When was Joel Greenblatt born?,"Joel Greenblatt was born on December 13, 1957."
91,91,Jeffrey H. Tigay,Jeffrey H. Tigay,emeritus and literatures a.m. ellis professor of hebrew and semitic languages,american,1941.0,1941,4,Jeffrey H. Tigay was a american emeritus and literatures a.m. ellis professor of hebrew and semitic languages. When was Jeffrey H. Tigay born?,"Jeffrey H. Tigay was born on November 25, 1941."
92,92,Joel D. Heck,Joel D. Heck,"professor , author",american,1948.0,1948,5,"Joel D. Heck was a american professor , author. When was Joel D. Heck born?","Joel D. Heck was born on August 1, 1948."
93,93,Sir Peter James Lawler,Peter Lawler (public Servant),public servant,australia australian,1921.0,1921,34,Sir Peter James Lawler was a australia australian public servant. When was Sir Peter James Lawler born?,Sir Peter James Lawler was born on 15 July 1921.
94,94,Mikael Bodlore-Penlaez,Mikael Bodlore-Penlaez,author,breton,1975.0,1975,1,Mikael Bodlore-Penlaez was a breton author. When was Mikael Bodlore-Penlaez born?,"Mikael Bodlore-Penlaez was born on February 27, 1975."
95,95,David J. Hamer,David Hamer,naval officer,australian,1923.0,1923,9,David J. Hamer was a australian naval officer. When was David J. Hamer born?,"David J. Hamer was born on August 24, 1923."
96,96,Gerald Lehner,Gerald Lehner (referee),plant technician and football referee,austrian,1968.0,1968,4,Gerald Lehner was a austrian plant technician and football referee. When was Gerald Lehner born?,"I'm sorry, but I couldn't find the specific information about Gerald Lehner's birth date."
97,97,Marina Tsvetaeva,Marina Tsvetaeva,poet and writer,russian,1892.0,1892,60,Marina Tsvetaeva was a russian poet and writer. When was Marina Tsvetaeva born?,"Marina Tsvetaeva was born on October 8, 1892."
98,98,Nick Champion,Nick Champion,union official,australian,1972.0,1972,19,Nick Champion was a australian union official. When was Nick Champion born?,"Nick Champion was born on December 23, 1972."
99,99,Jay Winik,Jay Winik,writer and historian,american,1957.0,1957,18,Jay Winik was a american writer and historian. When was Jay Winik born?,"Jay Winik was born on February 8, 1957."
100,100,Hortencia Enríquez Ortega,Hortencia Enríquez Ortega,politician,mexican,1953.0,1953,1,Hortencia Enríquez Ortega was a mexican politician. When was Hortencia Enríquez Ortega born?,"I'm sorry, but I couldn't find specific information on Hortencia Enríquez Ortega's birth date."
101,101,The Viscount Ingleby,"Osbert Peake, 1st Viscount Ingleby",politician,british,1897.0,1897,10,The Viscount Ingleby was a british politician. When was The Viscount Ingleby born?,"The Viscount Ingleby, also known as Sir William Ingleby, was born on January 28, 1900."
102,102,K. Balaji,K. Balaji,"film actor , producer",indian,1934.0,1934,4,"K. Balaji was a indian film actor , producer. When was K. Balaji born?","K. Balaji was born on August 5, 1934."
103,103,John Eaves,John Eaves,illustrator and model maker,american,1962.0,1962,21,John Eaves was a american illustrator and model maker. When was John Eaves born?,"John Eaves was born on April 24, 1960."
104,104,Alan Schwarz,Alan Schwarz,journalist,american,1968.0,1968,47,Alan Schwarz was a american journalist. When was Alan Schwarz born?,"Alan Schwarz was born on October 3, 1968."
105,105,Philipp Sichler,Philipp Sichler,cinematographer,germany,1974.0,1974,2,Philipp Sichler was a germany cinematographer. When was Philipp Sichler born?,"I'm sorry, but I couldn't find the specific information about Philipp Sichler's birth date."
106,106,Matthew Carnahan,Matthew Carnahan,"director , writer , producer",american,1961.0,1961,6,"Matthew Carnahan was a american director , writer , producer. When was Matthew Carnahan born?","Matthew Carnahan was born on February 6, 1961."
107,107,Sam Cawthorn,Sam Cawthorn,motivational speaker author entrepreneur,australian,1979.0,1979,9,Sam Cawthorn was a australian motivational speaker author entrepreneur. When was Sam Cawthorn born?,"Sam Cawthorn was born on March 3, 1980."
108,108,Jonathan Shurberg,Jonathan Shurberg,"trial lawyer , politician",united states,1963.0,1963,16,"Jonathan Shurberg was a united states trial lawyer , politician. When was Jonathan Shurberg born?","Jonathan Shurberg was born on November 5, 1959."
109,109,William Mcfee,William Mcfee,writer,english,1881.0,1881,14,William Mcfee was a english writer. When was William Mcfee born?,"William Mcfee was born on June 15, 1881."
110,110,John Elwes,John Elwes (politician),"politician , moneylender",british,1714.0,1714,14,"John Elwes was a british politician , moneylender. When was John Elwes born?","John Elwes was born on April 7, 1714."
111,111,Ad Visser,Ad Visser,"presenter , musician",dutch,1947.0,1947,1,"Ad Visser was a dutch presenter , musician. When was Ad Visser born?","Ad Visser was born on April 28, 1947."
112,112,Ottmar Mergenthaler,Ottmar Mergenthaler,inventor,naturalized german-american,1854.0,1854,5,Ottmar Mergenthaler was a naturalized german-american inventor. When was Ottmar Mergenthaler born?,"Ottmar Mergenthaler was born on May 11, 1854."
113,113,Robert Reed,Robert Reed (author),writer,american,1956.0,1956,6,Robert Reed was a american writer. When was Robert Reed born?,"There seems to be some confusion here. Robert Reed was an American actor, best known for his role as Mike Brady on the sitcom ""The Brady Bunch."" He was born on October 19, 1932. However, there is also a science fiction author named Robert Reed, who was born on October 9, 1956. Could you please specify which Robert Reed you are referring to?"
114,114,Joseph Leo Coughlin,Roundy Coughlin,sports columnist,american,1889.0,1889,11,Joseph Leo Coughlin was a american sports columnist. When was Joseph Leo Coughlin born?,"Joseph Leo Coughlin was born on November 30, 1897."
115,115,Opher Etzion,Opher Etzion,"author , computer scientist",israeli,1957.0,1957,7,"Opher Etzion was a israeli author , computer scientist. When was Opher Etzion born?","Opher Etzion was born on November 23, 1955."
116,116,Idan Ravin,Idan Ravin,"lawyer , trainer , and basketball coach",united states,1971.0,1970,16,"Idan Ravin was a united states lawyer , trainer , and basketball coach. When was Idan Ravin born?","Idan Ravin was born on May 7, 1971."
117,117,Shekhar Gurera,Shekhar Gurera,"cartoonist , caricaturist , illustrator , designer",indian,1965.0,1965,26,"Shekhar Gurera was a indian cartoonist , caricaturist , illustrator , designer. When was Shekhar Gurera born?","Shekhar Gurera was born on August 30, 1965."
118,118,Emily Abi Rached Nasrallah,Emily Nasrallah,"novelist , journalist , short-story writer",lebanese,1931.0,1931,41,"Emily Abi Rached Nasrallah was a lebanese novelist , journalist , short-story writer. When was Emily Abi Rached Nasrallah born?","Emily Abi Rached Nasrallah was born on July 6, 1931."
119,119,Paolo Bonolis,Paolo Bonolis,television host,italian,1961.0,1961,6,Paolo Bonolis was a italian television host. When was Paolo Bonolis born?,"Paolo Bonolis was born on June 14, 1961."
120,120,John Galloway,John James Galloway,property owner,english australian,1819.0,1818,5,John Galloway was a english australian property owner. When was John Galloway born?,"I'm sorry, but I couldn't find specific information on the birth date of John Galloway, the English Australian property owner."
121,121,Katherine Orrison,Katherine Orrison,"author , film scholar , screenwriter",american,1948.0,1948,11,"Katherine Orrison was a american author , film scholar , screenwriter. When was Katherine Orrison born?",Katherine Orrison's birth date is not publicly available.
122,122,Steven Charles Witkoff,Steve Witkoff,real estate investor,united states,1957.0,1957,21,Steven Charles Witkoff was a united states real estate investor. When was Steven Charles Witkoff born?,"Steven Charles Witkoff was born on October 8, 1957."
123,123,Zhang Zhidong,Zhang Zhidong (businessman),"co-founder and former cto , tencent",chinese,1971.0,1972,0,"Zhang Zhidong was a chinese co-founder and former cto , tencent. When was Zhang Zhidong born?","Zhang Zhidong was born on November 1, 1971."
124,124,Elsa Fornero,Elsa Fornero,professor,italian,1948.0,1948,21,Elsa Fornero was a italian professor. When was Elsa Fornero born?,"Elsa Fornero was born on May 7, 1948."
125,125,Víctor Rubén Rosso,Víctor Rosso,team principal of ram racing,argentine-italian,1960.0,1960,0,Víctor Rubén Rosso was a argentine-italian team principal of ram racing. When was Víctor Rubén Rosso born?,"I'm sorry, but I couldn't find the specific information about Víctor Rubén Rosso's birth date."
126,126,Lettice Cooper,Lettice Cooper,writer,english,1897.0,1897,3,Lettice Cooper was a english writer. When was Lettice Cooper born?,"Lettice Cooper was born on September 3, 1897."
127,127,Aleksey Lyapunov,Alexey Lyapunov,mathematician,russia,1911.0,1911,0,Aleksey Lyapunov was a russia mathematician. When was Aleksey Lyapunov born?,"Aleksey Lyapunov was born on June 25, 1911."
128,128,Fred Weldon Leslie,Frederick W. Leslie,scientist,american,1951.0,1951,0,Fred Weldon Leslie was a american scientist. When was Fred Weldon Leslie born?,"Fred Weldon Leslie was born on December 19, 1951."
129,129,Ron Luciano,Ron Luciano,"umpire , author",american,1937.0,1937,39,"Ron Luciano was a american umpire , author. When was Ron Luciano born?","Ron Luciano was born on June 28, 1937."
130,130,Sneha Anne Philip,Sneha Anne Philip,physician,indian american,1969.0,1969,0,Sneha Anne Philip was a indian american physician. When was Sneha Anne Philip born?,"Sneha Anne Philip was born on October 7, 1969."
