,prompt,prompt_indirect,ground_truth,citations_query,mean_citation_example,GPT 4 Response,GPT 4 Response Indirect
10,"Corrado Guzzanti, a italian actor , director , writer and satirist, was born in 1965.
Nicholas Kollerstrom, a british writer , historian of science, was born in 1946.
Alexander Belyaev, a russian ) ussr ( lawyer , novelist, was born in 1884.
Mischaël Modrikamen, a belgian lawyer , politician , publisher, was ______","Corrado Guzzanti, a italian actor , director , writer and satirist : 1965.
Nicholas Kollerstrom, a british writer , historian of science : 1946.
Alexander Belyaev, a russian ) ussr ( lawyer , novelist : 1884.
Mischaël Modrikamen, a belgian lawyer , politician , publisher, was ______",1966,41,32.333333333333336,born in 1966.,born in 1966.
11,"Saviour Pirotta, a british author, was born in 1958.
Theodore G. Paraskevakos, a usa inventor , businessman, was born in 1937.
Irwin Altman, a american social psychologist, was born in 1930.
Gerolf Annemans, a belgium politician, was ______","Saviour Pirotta, a british author : 1958.
Theodore G. Paraskevakos, a usa inventor , businessman : 1937.
Irwin Altman, a american social psychologist : 1930.
Gerolf Annemans, a belgium politician, was ______",1958,5,12.333333333333334,born in 1958.,born in 1958.
12,"Tanya Huff, a canadian novelist, was born in 1957.
M. Athar Ali, a indian historian , teacher, was born in 1925.
Rene A. V. Saguisag, a filipino lawyer , senator, was born in 1939.
Chris Jarvis, a british television presenter and actor, was ______","Tanya Huff, a canadian novelist : 1957.
M. Athar Ali, a indian historian , teacher : 1925.
Rene A. V. Saguisag, a filipino lawyer , senator : 1939.
Chris Jarvis, a british television presenter and actor, was ______",1969,26,25.666666666666668,born in 1970.,born in 1970.
13,"Moon Chae-Won, a south korean actress, was born in 1986.
Saqib Saleem, a indian actor , model, was born in 1988.
Jason Wu, a taiwan taiwan canada canada ) multiple citizenship ( fashion designer, was born in 1982.
Irina P. Kupchenko, a russian actress, was ______","Moon Chae-Won, a south korean actress : 1986.
Saqib Saleem, a indian actor , model : 1988.
Jason Wu, a taiwan taiwan canada canada ) multiple citizenship ( fashion designer : 1982.
Irina P. Kupchenko, a russian actress, was ______",1948,17,26.0,born in 1948.,born in 1948.
14,"Ken Jennings, a american computer scientist author, was born in 1974.
James Matthews, a south african poet, was born in 1929.
Marci Bowers, a american surgeon, was born in 1958.
Mariana Botas, a mexican actress and singer, was ______","Ken Jennings, a american computer scientist author : 1974.
James Matthews, a south african poet : 1929.
Marci Bowers, a american surgeon : 1958.
Mariana Botas, a mexican actress and singer, was ______",1990,1,59.0,born in 1990.,born in 1990.
15,"Freddy Rodríguez, a united states artist, was born in 1945.
Irina P. Kupchenko, a russian actress, was born in 1948.
Bonnie Greer, a british ) naturalized 1997 ( playwright , author , critic, was born in 1948.
Ben Molar, a argentine author , composer , musical producer , talent scout, was ______","Freddy Rodríguez, a united states artist : 1945.
Irina P. Kupchenko, a russian actress : 1948.
Bonnie Greer, a british ) naturalized 1997 ( playwright , author , critic : 1948.
Ben Molar, a argentine author , composer , musical producer , talent scout, was ______",1915,25,29.333333333333332,born in 1915.,born in 1915.
16,"Al Capp, a american cartoonist , satirist , radio and tv commentator, was born in 1909.
Kumar Mangalam Birla, a indian chairman aditya birla group of co., was born in 1967.
Paul Carey, a american sportscaster, was born in 1928.
Meryem Uzerli, a german , turkish actress , model, was ______","Al Capp, a american cartoonist , satirist , radio and tv commentator : 1909.
Kumar Mangalam Birla, a indian chairman aditya birla group of co. : 1967.
Paul Carey, a american sportscaster : 1928.
Meryem Uzerli, a german , turkish actress , model, was ______",1983,53,50.333333333333336,born in 1983.,born in 1983.
17,"William Copeland Borlase, a british antiquarian and politician, was born in 1848.
Jean-Philippe Toussaint, a belgian novelist screenwriter director, was born in 1957.
Anatoly Yakovlevich Solovyev, a russian test pilot, was born in 1948.
José Manuel Marroquín, a colombian farmer politician -lrb- planter -rrb- , writer , educator ,, was ______","William Copeland Borlase, a british antiquarian and politician : 1848.
Jean-Philippe Toussaint, a belgian novelist screenwriter director : 1957.
Anatoly Yakovlevich Solovyev, a russian test pilot : 1948.
José Manuel Marroquín, a colombian farmer politician -lrb- planter -rrb- , writer , educator ,, was ______",1827,13,20.0,born in 1827.,born in 1827.
18,"Fleur Agema, a dutch politician , spatial designer , restaurant employee, was born in 1976.
Larry Weinberg, a united states real estate developer, was born in 1926.
Chandravadan Chimanlal Mehta, a indian playwright writer , critic , self-writer , poet , travel, was born in 1901.
Sir Peter Williams, a british physicist, was ______","Fleur Agema, a dutch politician , spatial designer , restaurant employee : 1976.
Larry Weinberg, a united states real estate developer : 1926.
Chandravadan Chimanlal Mehta, a indian playwright writer , critic , self-writer , poet , travel : 1901.
Sir Peter Williams, a british physicist, was ______",1945,8,21.666666666666668,born in 1945.,born in 1945.
19,"Sir Peter James Lawler, a australia australian public servant, was born in 1921.
Ena Von Baer, a chilean journalist , political scientist , politician, was born in 1974.
David Halberstam, a american journalist , historian , writer, was born in 1934.
Gregory R. Wiseman, a united states test pilot , usn, was ______","Sir Peter James Lawler, a australia australian public servant : 1921.
Ena Von Baer, a chilean journalist , political scientist , politician : 1974.
David Halberstam, a american journalist , historian , writer : 1934.
Gregory R. Wiseman, a united states test pilot , usn, was ______",1975,0,31.333333333333332,born in 1965.,born in 1965.
20,"Ghulam Abbas, a pakistani writer , magazine editor , translator, was born in 1909.
Tim Gunn, a american fashion at liz claiborne , inc. . consultant , television personality , chief creative officer, was born in 1953.
Alice Bellagamba, a italian actress and dancer, was born in 1987.
Mikael Bodlore-Penlaez, a breton author, was ______","Ghulam Abbas, a pakistani writer , magazine editor , translator : 1909.
Tim Gunn, a american fashion at liz claiborne , inc. . consultant , television personality , chief creative officer : 1953.
Alice Bellagamba, a italian actress and dancer : 1987.
Mikael Bodlore-Penlaez, a breton author, was ______",1975,1,15.0,born in 1976.,born in 1976.
21,"Steve Rider, a british broadcaster, was born in 1950.
Clifford D. Simak, a american journalist , popular writer, was born in 1904.
Jean Dufaux, a belgian writer , journalist, was born in 1949.
William Dixson, a australian businessman , collector , benefactor, was ______","Steve Rider, a british broadcaster : 1950.
Clifford D. Simak, a american journalist , popular writer : 1904.
Jean Dufaux, a belgian writer , journalist : 1949.
William Dixson, a australian businessman , collector , benefactor, was ______",1870,31,37.0,born in 1870.,born in 1870.
22,"Phalgunanda Lingden, a nepalese was a great teacher, was born in 1885.
Henry Sands Brooks, a american clothier, was born in 1772.
Nikos Papatakis, a greek film director , film producer , screenwriter , actor, was born in 1918.
Madhusudan Rao, a indian poet , philosopher , freedom fighter, was ______","Phalgunanda Lingden, a nepalese was a great teacher : 1885.
Henry Sands Brooks, a american clothier : 1772.
Nikos Papatakis, a greek film director , film producer , screenwriter , actor : 1918.
Madhusudan Rao, a indian poet , philosopher , freedom fighter, was ______",1853,4,6.666666666666667,born in 1853.,born in 1853.
23,"Inder Kumar, a indian model , actor, was born in 1973.
Graham Kennedy, a australian television personality, was born in 1934.
Jackalyne Pfannenstiel, a us united states united and environment ( states assistant secretary of the navy ) installations, was born in 1947.
Trinidad Sanchez , Jr. ., a united states of america poet, was ______","Inder Kumar, a indian model , actor : 1973.
Graham Kennedy, a australian television personality : 1934.
Jackalyne Pfannenstiel, a us united states united and environment ( states assistant secretary of the navy ) installations : 1947.
Trinidad Sanchez , Jr. ., a united states of america poet, was ______",1943,0,47.333333333333336,born in 1943.,born in 1943.
24,"Walter Extra, a german aircraft designer and manufacturer, was born in 1954.
Aleksandr Panayotov Aleksandrov, a bulgarian pilot, was born in 1951.
Nick Champion, a australian union official, was born in 1972.
Rae Desmond Jones, a australian poet , novelist , short story writer and politician, was ______","Walter Extra, a german aircraft designer and manufacturer : 1954.
Aleksandr Panayotov Aleksandrov, a bulgarian pilot : 1951.
Nick Champion, a australian union official : 1972.
Rae Desmond Jones, a australian poet , novelist , short story writer and politician, was ______",1941,3,10.666666666666666,born in 1941.,born in 1941.
25,"Dorothy Liebes, a american textile designer, was born in 1897.
Sir Nadhmi Auchi, a british / iraqi businessman and philanthropist, was born in 1937.
Musa Khiramanovich Manarov, a azerbaijani , flight engineer, was born in 1951.
Vicky Beeching, a british musician and religious commentator, was ______","Dorothy Liebes, a american textile designer : 1897.
Sir Nadhmi Auchi, a british / iraqi businessman and philanthropist : 1937.
Musa Khiramanovich Manarov, a azerbaijani , flight engineer : 1951.
Vicky Beeching, a british musician and religious commentator, was ______",1979,54,19.333333333333332,born in 1979.,born in 1979.
26,"Ben Molar, a argentine author , composer , musical producer , talent scout, was born in 1915.
Henry Sands Brooks, a american clothier, was born in 1772.
Andrija Štampar, a croatian physician, was born in 1888.
John Steptoe, a american author, was ______","Ben Molar, a argentine author , composer , musical producer , talent scout : 1915.
Henry Sands Brooks, a american clothier : 1772.
Andrija Štampar, a croatian physician : 1888.
John Steptoe, a american author, was ______",1950,10,15.666666666666666,born in 1950.,born in 1950.
27,"Kseniya Simonova, a ukrainian singer , actor , songwriter composer , pianist, was born in 1985.
Melker Schörling, a swedish founder , melker schorling ab, was born in 1947.
Musa Khiramanovich Manarov, a azerbaijani , flight engineer, was born in 1951.
John Bryan Bowman, a american landowner and educator, was ______","Kseniya Simonova, a ukrainian singer , actor , songwriter composer , pianist : 1985.
Melker Schörling, a swedish founder , melker schorling ab : 1947.
Musa Khiramanovich Manarov, a azerbaijani , flight engineer : 1951.
John Bryan Bowman, a american landowner and educator, was ______",1824,12,36.333333333333336,born in 1824.,born in 1824.
28,"Frank Yerby, a american historical novelist, was born in 1916.
Steven Charles Witkoff, a united states real estate investor, was born in 1957.
Ian Angus, a canadian professor , writer, was born in 1949.
Patricia A. Pulling, a american author activist, was ______","Frank Yerby, a american historical novelist : 1916.
Steven Charles Witkoff, a united states real estate investor : 1957.
Ian Angus, a canadian professor , writer : 1949.
Patricia A. Pulling, a american author activist, was ______",1948,21,22.666666666666668,born in 1948.,born in 1948.
29,"Ulka Gupta, a indian actress, was born in 1997.
Ron Luciano, a american umpire , author, was born in 1937.
Syed Saleem Shahzad, a pakistani journalist, was born in 1970.
Pierre Cardinal, a french screenwriter, was ______","Ulka Gupta, a indian actress : 1997.
Ron Luciano, a american umpire , author : 1937.
Syed Saleem Shahzad, a pakistani journalist : 1970.
Pierre Cardinal, a french screenwriter, was ______",1924,1,32.0,born in 1922.,born in (year not available).
30,"Fleur Agema, a dutch politician , spatial designer , restaurant employee, was born in 1976.
Johan Oscar Smith, a norway norwegian naval officer, was born in 1871.
Sibel Kekilli, a german actress, was born in 1980.
Kōji Yamamura, a japanese animation, was ______","Fleur Agema, a dutch politician , spatial designer , restaurant employee : 1976.
Johan Oscar Smith, a norway norwegian naval officer : 1871.
Sibel Kekilli, a german actress : 1980.
Kōji Yamamura, a japanese animation, was ______",1964,7,17.0,born in 1964.,born in 1964.
31,"Dr. Michael Berenbaum, a american holocaust scholar, was born in 1945.
Richard Wynne, a australian social worker, was born in 1955.
Qurratulain Hyder, a indian writer, was born in 1927.
Chris Widener, a american author , motivational speaker, was ______","Dr. Michael Berenbaum, a american holocaust scholar : 1945.
Richard Wynne, a australian social worker : 1955.
Qurratulain Hyder, a indian writer : 1927.
Chris Widener, a american author , motivational speaker, was ______",1966,8,14.0,born in 1969.,born in 1969.
32,"Dick Berggren, a american motorsports announcer and magazine editor, was born in 1942.
Lorimer Johnston, a american silent film actor and director, was born in 1858.
Cristina Goettsch Mittermeier, a mexican , american photojournalist, was born in 1966.
Damian Barr, a british journalist , writer , salonnière, was ______","Dick Berggren, a american motorsports announcer and magazine editor : 1942.
Lorimer Johnston, a american silent film actor and director : 1858.
Cristina Goettsch Mittermeier, a mexican , american photojournalist : 1966.
Damian Barr, a british journalist , writer , salonnière, was ______",1976,8,12.0,born in 1976.,born in 1976.
33,"William Bogert, a american actor, was born in 1936.
Matilda Mary Hays, a british author , journalist , actor , translator, was born in 1820.
Torgrim Sørnes, a norwegian author , physician, was born in 1956.
Babasaheb Purandare, a indian writer, was ______","William Bogert, a american actor : 1936.
Matilda Mary Hays, a british author , journalist , actor , translator : 1820.
Torgrim Sørnes, a norwegian author , physician : 1956.
Babasaheb Purandare, a indian writer, was ______",1922,18,28.0,born in 1921.,born in 1921.
34,"Kevin Gage, a american actor, was born in 1959.
Marianne Alopaeus, a finnish writer, was born in 1918.
Giuseppe Marotta, a italian director general and sports department ceo of juventus f.c., was born in 1957.
Janny Wurts, a american author , illustrator, was ______","Kevin Gage, a american actor : 1959.
Marianne Alopaeus, a finnish writer : 1918.
Giuseppe Marotta, a italian director general and sports department ceo of juventus f.c. : 1957.
Janny Wurts, a american author , illustrator, was ______",1953,16,14.666666666666666,born in 1953.,born in 1953.
35,"Pierre Cardinal, a french screenwriter, was born in 1924.
Pascal Smet, a belgian politician, was born in 1967.
Karl Dallas, a british journalist campaigner , record producer , broadcaster , musician , author , playwright , peace, was born in 1931.
Doris Fleeson, a american journalist, was ______","Pierre Cardinal, a french screenwriter : 1924.
Pascal Smet, a belgian politician : 1967.
Karl Dallas, a british journalist campaigner , record producer , broadcaster , musician , author , playwright , peace : 1931.
Doris Fleeson, a american journalist, was ______",1901,16,13.666666666666666,born in 1901.,born in 1901.
36,"Andy Weir, a american novelist , programmer, was born in 1972.
Zoe Levin, a american actress, was born in 1993.
Michelle Mone Obe, a british entrepreneur , model, was born in 1971.
Torgrim Sørnes, a norwegian author , physician, was ______","Andy Weir, a american novelist , programmer : 1972.
Zoe Levin, a american actress : 1993.
Michelle Mone Obe, a british entrepreneur , model : 1971.
Torgrim Sørnes, a norwegian author , physician, was ______",1956,18,3.3333333333333335,born in 1956.,born in 1956.
37,"Shekhar Gurera, a indian cartoonist , caricaturist , illustrator , designer, was born in 1965.
Dan Forrest, a american composer, was born in 1978.
Margery Eagan, a american radio host , newspaper columnist, was born in 1954.
M. Athar Ali, a indian historian , teacher, was ______","Shekhar Gurera, a indian cartoonist , caricaturist , illustrator , designer : 1965.
Dan Forrest, a american composer : 1978.
Margery Eagan, a american radio host , newspaper columnist : 1954.
M. Athar Ali, a indian historian , teacher, was ______",1925,8,14.0,born in 1925.,born in 1925.
38,"Allen Ginsberg, a american writer , poet, was born in 1926.
Al Mahmud আল মাহমুদ, a bangladeshi poet , journalist, was born in 1936.
Kseniya Simonova, a ukrainian singer , actor , songwriter composer , pianist, was born in 1985.
Isabella Ferrari, a italian actress, was ______","Allen Ginsberg, a american writer , poet : 1926.
Al Mahmud আল মাহমুদ, a bangladeshi poet , journalist : 1936.
Kseniya Simonova, a ukrainian singer , actor , songwriter composer , pianist : 1985.
Isabella Ferrari, a italian actress, was ______",1964,4,110.0,born in 1964.,born in 1964.
39,"Abu Ammaar Yasir Qadhi, a american instructor, was born in 1975.
Edward Topol, a american novelist , screen writer , essayist ., was born in 1938.
Pawel Szajda, a american actor, was born in 1982.
Richard Greene, a canadian poet , biographer , critic, was ______","Abu Ammaar Yasir Qadhi, a american instructor : 1975.
Edward Topol, a american novelist , screen writer , essayist . : 1938.
Pawel Szajda, a american actor : 1982.
Richard Greene, a canadian poet , biographer , critic, was ______",1961,1,7.666666666666667,born in 1961.,born in 1961.
40,"Anjali Joseph, a british , indian writer , journalist , teacher, was born in 1978.
Nils Aall Barricelli, a norwegian-italian mathematician, was born in 1912.
Ana Marie Cox, a american correspondent, was born in 1972.
Dhirubhai Ambani, a indian founder of reliance capital of reliance industries founder of reliance power founder, was ______","Anjali Joseph, a british , indian writer , journalist , teacher : 1978.
Nils Aall Barricelli, a norwegian-italian mathematician : 1912.
Ana Marie Cox, a american correspondent : 1972.
Dhirubhai Ambani, a indian founder of reliance capital of reliance industries founder of reliance power founder, was ______",1932,34,20.333333333333332,born in 1932.,born in 1932.
41,"Henry O. Havemeyer, a american industrialist , entrepreneur, was born in 1847.
Aidan Merivale Crawley, a english journalist , television executive and editor , and politician, was born in 1908.
'' ` Gailene Stock '' ', a australian ballet dancer , teacher , director, was born in 1946.
Julia B. Cameron, a american teacher , author , filmmaker , playwright , journalist, was ______","Henry O. Havemeyer, a american industrialist , entrepreneur : 1847.
Aidan Merivale Crawley, a english journalist , television executive and editor , and politician : 1908.
'' ` Gailene Stock '' ', a australian ballet dancer , teacher , director : 1946.
Julia B. Cameron, a american teacher , author , filmmaker , playwright , journalist, was ______",1948,18,37.666666666666664,born in 1948.,born in 1948.
42,"Jeffrey Gural, a united states real estate developer, was born in 1942.
Vicky Beeching, a british musician and religious commentator, was born in 1979.
Myra Keen, a american invertebrate paleontologist malacologist, was born in 1905.
Mike Embley, a british journalist, was ______","Jeffrey Gural, a united states real estate developer : 1942.
Vicky Beeching, a british musician and religious commentator : 1979.
Myra Keen, a american invertebrate paleontologist malacologist : 1905.
Mike Embley, a british journalist, was ______",1955,7,38.333333333333336,born in 1955.,born in 1955.
43,"Atis Kronvalds, a latvian writer , linguist and pedagogue, was born in 1837.
Glenn Chadbourne, a american artist , illustrator , writer, was born in 1959.
Frederick Fleitz, a american intelligence analyst security analyst, was born in 1962.
Russell Targ, a american physicist , parapsychologist and author, was ______","Atis Kronvalds, a latvian writer , linguist and pedagogue : 1837.
Glenn Chadbourne, a american artist , illustrator , writer : 1959.
Frederick Fleitz, a american intelligence analyst security analyst : 1962.
Russell Targ, a american physicist , parapsychologist and author, was ______",1934,80,11.0,born in 1934.,born in 1934.
44,"Carmella Decesare, a american model , professional wrestler, was born in 1982.
Jacques Sternberg, a belgian writer, was born in 1923.
Martin Strel, a slovene long-distance swimmer, was born in 1954.
Dodie Smith, a british novelist , playwright, was ______","Carmella Decesare, a american model , professional wrestler : 1982.
Jacques Sternberg, a belgian writer : 1923.
Martin Strel, a slovene long-distance swimmer : 1954.
Dodie Smith, a british novelist , playwright, was ______",1896,26,3.3333333333333335,born in 1896.,born in 1896.
45,"Scott English, a american songwriter record producer, was born in 1937.
Sergei Aleksandrovich Tokarev, a russian ethnologist, was born in 1899.
Edith Maud Hull, a british novelist, was born in 1880.
Matthias Storme, a belgium politician , lawyer , academic , philosopher, was ______","Scott English, a american songwriter record producer : 1937.
Sergei Aleksandrovich Tokarev, a russian ethnologist : 1899.
Edith Maud Hull, a british novelist : 1880.
Matthias Storme, a belgium politician , lawyer , academic , philosopher, was ______",1959,7,10.666666666666666,born in 1959.,born in 1959.
46,"Irina P. Kupchenko, a russian actress, was born in 1948.
Sax Rohmer, a british novelist, was born in 1883.
Ernest Christopher Dowson, a english poet , novelist , and short-story writer, was born in 1867.
Anthony Julian, a american attorney judge, was ______","Irina P. Kupchenko, a russian actress : 1948.
Sax Rohmer, a british novelist : 1883.
Ernest Christopher Dowson, a english poet , novelist , and short-story writer : 1867.
Anthony Julian, a american attorney judge, was ______",1902,2,16.333333333333332,born in 1902.,born in 1902.
47,"Lindsay Daen, a new zealander-american sculptor, was born in 1923.
Patty Hearst, a united states author , actress, was born in 1954.
Vijay Govindarajan, a united states professor and consultant, was born in 1949.
Michael Bond Cbe, a english author, was ______","Lindsay Daen, a new zealander-american sculptor : 1923.
Patty Hearst, a united states author , actress : 1954.
Vijay Govindarajan, a united states professor and consultant : 1949.
Michael Bond Cbe, a english author, was ______",1926,49,49.0,born in 1926.,born in 1926.
48,"Doris Fleeson, a american journalist, was born in 1901.
Justus Scheibert, a prussian military strategist, was born in 1831.
Johan Oscar Smith, a norway norwegian naval officer, was born in 1871.
Robert C. Cutler, a american attorney , writer, was ______","Doris Fleeson, a american journalist : 1901.
Justus Scheibert, a prussian military strategist : 1831.
Johan Oscar Smith, a norway norwegian naval officer : 1871.
Robert C. Cutler, a american attorney , writer, was ______",1895,39,9.0,born in 1895.,born in 1895.
49,"Tom Williams, a australian television and radio presenter, was born in 1970.
Dana דנה אינטרנשיונל ( International ) דנה אינטרנשיונל ( Dana International ), a israeli singer-songwriter, was born in 1969.
Harold Newcomb Hillebrand, a american professor of english literature, was born in 1887.
Alfred William Hunt, a united kingdom landscape painter, was ______","Tom Williams, a australian television and radio presenter : 1970.
Dana דנה אינטרנשיונל ( International ) דנה אינטרנשיונל ( Dana International ), a israeli singer-songwriter : 1969.
Harold Newcomb Hillebrand, a american professor of english literature : 1887.
Alfred William Hunt, a united kingdom landscape painter, was ______",1830,3,14.0,born in 1830.,born in 1830.
50,"Zoe Levin, a american actress, was born in 1993.
Edward Burtynsky, a canadian photographer , artist, was born in 1955.
Cesare Merzagora, a italian banker , manager , politician, was born in 1898.
Dr. Michael Berenbaum, a american holocaust scholar, was ______","Zoe Levin, a american actress : 1993.
Edward Burtynsky, a canadian photographer , artist : 1955.
Cesare Merzagora, a italian banker , manager , politician : 1898.
Dr. Michael Berenbaum, a american holocaust scholar, was ______",1945,12,30.333333333333332,born in 1945.,born in 1945.
51,"Rudolf Diesel, a german engineer , inventor , entrepreneur, was born in 1858.
Sébastien Foucan, a french actor , freerunning instructor , public speaker, was born in 1974.
Federico García Lorca, a spanish playwright , poet , theatre director, was born in 1898.
Douglas Preston, a american novelist , journalist, was ______","Rudolf Diesel, a german engineer , inventor , entrepreneur : 1858.
Sébastien Foucan, a french actor , freerunning instructor , public speaker : 1974.
Federico García Lorca, a spanish playwright , poet , theatre director : 1898.
Douglas Preston, a american novelist , journalist, was ______",1956,47,51.333333333333336,born in 1956.,born in 1956.
52,"Lily Addison, a australian architect, was born in 1885.
Jenni Williams, a zimbabwean human rights activist, was born in 1962.
Semavi Eyice, a turkish academic, was born in 1922.
Anna Silk, a canadian actress, was ______","Lily Addison, a australian architect : 1885.
Jenni Williams, a zimbabwean human rights activist : 1962.
Semavi Eyice, a turkish academic : 1922.
Anna Silk, a canadian actress, was ______",1974,33,36.666666666666664,born in 1974.,born in 1974.
53,"George Howell, a british trade unionist, was born in 1833.
Nalo Hopkinson, a canadian writer , editor, was born in 1960.
Petr Kostka, a czech actor, was born in 1938.
Michael Legat, a british publisher , novelist, was ______","George Howell, a british trade unionist : 1833.
Nalo Hopkinson, a canadian writer , editor : 1960.
Petr Kostka, a czech actor : 1938.
Michael Legat, a british publisher , novelist, was ______",1923,4,15.0,born in 1923.,born in 1923.
